00007ffa0878d96e (__TEXT,__text) non-external +[NFPromise new]
00007ffa0879192d (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa08791282 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa08791919 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa087913e7 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa08791923 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa08791279 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa0879177f (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa087911ab (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa087915df (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa087912fa (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa08791372 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa08791475 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa08790598 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa08790507 (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa087904f3 (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa08790620 (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa087905d2 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa0879062e (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa0878a6c3 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa0878a535 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa0878a676 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa0878a6aa (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa0878a691 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa0878a680 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa0878a6b4 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa0878a69b (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa0878ebbe (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa0878daca (__TEXT,__text) non-external -[NFPromise always:]
00007ffa0878e10b (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa0878da0c (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa0878ea77 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa0878e9a5 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa0878da8b (__TEXT,__text) non-external -[NFPromise error:]
00007ffa0878e076 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa0878e52b (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa0878e46e (__TEXT,__text) non-external -[NFPromise error]
00007ffa0878d98a (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa0878d6f0 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa0878d8ec (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa0878d5ab (__TEXT,__text) non-external -[NFPromise init]
00007ffa0878e364 (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa0878e264 (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa0878e7ce (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa0878e595 (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa0878eba3 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa0878ebad (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa0878da4c (__TEXT,__text) non-external -[NFPromise then:]
00007ffa0878db09 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa0878e1fa (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa0878e193 (__TEXT,__text) non-external -[NFPromise then]
00007ffa0878ffc6 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa0878f96e (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa0878f5bb (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa08792360 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa08792427 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa0878ff72 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa0878ffa1 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa0878f548 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa0878f4d5 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa0878f458 (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa0878ffbc (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa0878fa99 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa0878f6ce (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa0878f6b7 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa0878f6eb (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa0878fc0c (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa087924ee (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa0878ff7c (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa0878ffab (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa0878ff97 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa0878ff61 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa0878ff8d (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa0878ff57 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa087904c0 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa087903a5 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa087902a4 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa087904a5 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa0879045b (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa0879026a (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa087900cf (__TEXT,__text) non-external -[NFReachability init]
00007ffa0879048a (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa0879046f (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa087904af (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa08790465 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa08790494 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa08790479 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa0878cf11 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa0878bf69 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa0878beeb (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa0878c1ae (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa087921d2 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa0878c083 (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa0879210b (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa0878c035 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa0878bfb7 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa0878bdf7 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa0878bd59 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa0878cec7 (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa0878c2d9 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa0878bc0e (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa0878cee2 (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa0878ce85 (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa0878ced1 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa0878ceec (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa0878ce9b (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa0878ce74 (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa0878ceb6 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa0878ce60 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa0878cf07 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa0878ce6a (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa0878ceac (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa0878cefd (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa0878ce56 (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa08790a37 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa0879080e (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa08790a03 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa08790a1e (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa087908f4 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa087906f3 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa0879063c (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa08790737 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa087909cf (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa087908d4 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa08790a0d (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa08790a28 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa087909d9 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa087909f2 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa087909e8 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa08790da2 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa08790d25 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa08790bfb (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa08790d89 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa08790d70 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa08790ae0 (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa08790a75 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa08790b24 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa08790d0c (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa08790c6c (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa08790cec (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa08790cac (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa08790ccc (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa08790c8c (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa08790d2f (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa08790d93 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa08790d7a (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa08790d16 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa08790d61 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa08790d48 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa08790d57 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa08790d3e (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa08790df6 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa087910d0 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa08790ff5 (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa08790f4e (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa08790ea7 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa0878a4ec (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa0878a4d1 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa0878a374 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa0878a480 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa0878a49b (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa0878a272 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa0878a4db (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa0878a48a (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa0878a4a5 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa0878a46f (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa0878a4c0 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa0878a465 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa0878a4b6 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa0878a256 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa0878a264 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa0878a183 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa0878a1cc (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa0878a237 (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa0878a1e0 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa0878a248 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa0878ebd9 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa0878bb96 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa0878d350 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa0878f1cb (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa0878f2ca (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa0878cf58 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa08791a90 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa08793f84 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa08793fe0 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa0878b922 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa08791c28 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa424df9f8 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa424dfa00 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa08791b1a (__TEXT,__text) external _NFDeviceIsA7
00007ffa08791b22 (__TEXT,__text) external _NFDeviceIsA8
00007ffa08791c0d (__TEXT,__text) external _NFDeviceModelString
00007ffa08791bf2 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa08791b2a (__TEXT,__text) external _NFDevicePlatform
00007ffa44026390 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa44026388 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa08791be5 (__TEXT,__text) external _NFGeneralDeviceString
00007ffa0878a0d0 (__TEXT,__text) external _NFInternalBuild
00007ffa424df9f0 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00007ffa44026348 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa08790004 (__TEXT,__text) external _NFLockSync
00007ffa0878f39b (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa0878a114 (__TEXT,__text) external _NFSeedBuild
00007ffa4059ae18 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa0878a11c (__TEXT,__text) external _NFStoreDemoMode
00007ffa44026350 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa424df9f1 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa08793320 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa087932e0 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa424df6e8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa44026078 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa440260a0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa44026118 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa440262f8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa440262a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa424df670 (__DATA,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa44026168 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa44026208 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa44026258 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa424df710 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa424df760 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa424df7b0 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa424df620 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa44026028 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa440261e0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa424df4e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa424df4e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa424df510 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00007ffa424df508 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa424df4f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00007ffa424df4f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00007ffa424df500 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00007ffa424df558 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00007ffa424df560 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00007ffa424df550 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00007ffa424df610 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00007ffa424df618 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00007ffa424df5b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00007ffa424df4c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00007ffa424df4d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00007ffa424df4d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00007ffa424df568 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00007ffa424df578 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
00007ffa424df588 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._handlers
