00007ffa12deea78 (__TEXT,__text) non-external +[NFPromise new]
00007ffa12debaa7 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa12df3a76 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa12debea6 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa12df3d19 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa12debdd9 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa12df3c38 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa12deb908 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa12df3995 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa12debc3d (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa12df3b57 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa12dec781 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa12dec8bd (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa12dec89f (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa12dec895 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa12dec8b3 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00007ffa12dec8a9 (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa12dec7b3 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa12dec88b (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa12dee30f (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa12dee2fb (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa12dee0f5 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa12dee305 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa12dee26f (__TEXT,__text) non-external -[NFLazy reset]
00007ffa12dee1a1 (__TEXT,__text) non-external -[NFLazy value]
00007ffa12df3473 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa12df2c00 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa12df3444 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa12df2e2b (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa12df344e (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa12df2bf7 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa12df325f (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa12df2ae8 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa12df2afd (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00007ffa12df3458 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00007ffa12df306f (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa12df2c9b (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa12df2d36 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa12df2eb9 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa12df3462 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00007ffa12df165c (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa12df15c8 (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa12df15b4 (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa12df16e5 (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa12df1696 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa12df16f3 (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa12deb7b5 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa12deb623 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa12deb768 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa12deb79c (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa12deb783 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa12deb772 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa12deb7a6 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa12deb78d (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa12defc6f (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa12deeb8e (__TEXT,__text) non-external -[NFPromise always:]
00007ffa12def1ac (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa12deeb16 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa12defb25 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa12defa53 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa12deeb72 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa12def112 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa12def5d5 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa12def518 (__TEXT,__text) non-external -[NFPromise error]
00007ffa12deea94 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa12dee806 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa12dee9f6 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa12dee69b (__TEXT,__text) non-external -[NFPromise init]
00007ffa12def40c (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa12def30a (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa12def87a (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa12def63f (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa12defc54 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa12defc5e (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa12deeb56 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa12deebaa (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa12def2a0 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa12def239 (__TEXT,__text) non-external -[NFPromise then]
00007ffa12df1b46 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00007ffa12df1ba5 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00007ffa12df0fe4 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa12df099c (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa12df0600 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa12df409d (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa12df417e (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa12df0f90 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa12df0fbf (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa12df058d (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa12df051a (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa12df049d (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa12df0fda (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa12df0ac3 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa12df0713 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa12df06fc (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa12df0730 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa12df0c2b (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa12df425f (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa12df0f9a (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa12df0fc9 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa12df0fb5 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa12df0f7f (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa12df0fab (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa12df0f75 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa12df1581 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa12df13cc (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa12df12d3 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa12df1566 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa12df151c (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa12df1299 (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa12df10ee (__TEXT,__text) non-external -[NFReachability init]
00007ffa12df154b (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa12df1530 (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa12df1570 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa12df1526 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa12df1555 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa12df153a (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa12dedffe (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa12ded091 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa12ded013 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa12ded2d8 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa12df3edb (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa12ded1ab (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa12df3dfa (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa12ded15d (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa12ded0df (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa12decf25 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa12dece87 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa12dedfb4 (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa12ded405 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa12decd3c (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa12dedfcf (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa12dedf72 (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa12dedfbe (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa12dedfd9 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa12dedf88 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa12dedf61 (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa12dedfa3 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa12dedf4d (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa12dedff4 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa12dedf57 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa12dedf99 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa12dedfea (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa12dedf43 (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa12df1b08 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa12df18da (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa12df1ad4 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa12df1aef (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa12df19c3 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa12df17b9 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa12df1701 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa12df17fd (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa12df1aa0 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa12df19a3 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa12df1ade (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa12df1af9 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa12df1aaa (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa12df1ac3 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa12df1ab9 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa12df26d7 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa12df265a (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa12df2530 (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa12df26be (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa12df26a5 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa12df240f (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa12df23a4 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa12df2453 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa12df2641 (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa12df25a1 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa12df2621 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa12df25e1 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa12df2601 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa12df25c1 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa12df2664 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa12df26c8 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa12df26af (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa12df264b (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa12df2696 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa12df267d (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa12df268c (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa12df2673 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa12df272b (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa12df2a0b (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa12df292e (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa12df2886 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa12df27de (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa12deb5da (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa12deb5bf (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa12deb46a (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa12deb56e (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa12deb589 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa12deb363 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa12deb5c9 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa12deb578 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa12deb593 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa12deb55d (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa12deb5ae (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa12deb553 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa12deb5a4 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa12deb347 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa12deb355 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa12deb273 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa12deb2bc (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa12deb328 (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa12deb2d0 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa12deb339 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa12defc8a (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa12deccc4 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa12dee440 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa12df0227 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa12df0320 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa12dee045 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa12df3697 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00007ffa12df35ea (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa12df5dd4 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa12df5e30 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffa12df5e4c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa12deca57 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa12df387b (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa43d94798 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa43d947a0 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa12df371a (__TEXT,__text) external _NFDeviceIsA7
00007ffa12df3722 (__TEXT,__text) external _NFDeviceIsA8
00007ffa12df3812 (__TEXT,__text) external _NFDeviceModelString
00007ffa12df37f7 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa12df372a (__TEXT,__text) external _NFDevicePlatform
00007ffa434ae310 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa434ae308 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa12df37ea (__TEXT,__text) external _NFGeneralDeviceString
00007ffa12deb1c0 (__TEXT,__text) external _NFInternalBuild
00007ffa43d94790 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00007ffa434ae2c8 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa12df1022 (__TEXT,__text) external _NFLockSync
00007ffa12df03ea (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa12deb204 (__TEXT,__text) external _NFSeedBuild
00007ffa418cb1e8 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa12deb20c (__TEXT,__text) external _NFStoreDemoMode
00007ffa434ae2d0 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa43d94791 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
00007ffa12df382d (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa12df5140 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa12df5100 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa43d94480 (__DATA,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa434adff8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa434ae020 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa434ae098 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa434ae278 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa434ae228 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa43d94408 (__DATA,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa434ae0e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa434ae188 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa434ae1d8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa43d944a8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa43d944f8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa43d94548 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa43d943b8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa434adfa8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa434ae160 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa43d94270 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa43d94278 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa43d942a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00007ffa43d94298 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa43d94288 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00007ffa43d94280 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00007ffa43d94290 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00007ffa43d942e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00007ffa43d942f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00007ffa43d942e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00007ffa43d943a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
