                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
000000018dfeed4c (__TEXT,__text) external _CMCloneProfileRef
000000018dfed12c (__TEXT,__text) external _CMGetProfileElement
00000001d6a2c640 (__DATA,__bss) non-external _CMGetProfileElement.func
000000018dfecffc (__TEXT,__text) external _CMGetProfileGamma
00000001d6a2c638 (__DATA,__bss) non-external _CMGetProfileGamma.func
000000018dfecf24 (__TEXT,__text) external _CMGetProfileHeader
00000001d6a2c630 (__DATA,__bss) non-external _CMGetProfileHeader.func
000000018dfecea8 (__TEXT,__text) external _CMGetProfileLocation
00000001d6a2c628 (__DATA,__bss) non-external _CMGetProfileLocation.func
000000018dfecdd0 (__TEXT,__text) external _CMGetProfileMD5
00000001d6a2c620 (__DATA,__bss) non-external _CMGetProfileMD5.func
000000018dfeccf8 (__TEXT,__text) external _CMGetProfileRefCount
00000001d6a2c618 (__DATA,__bss) non-external _CMGetProfileRefCount.func
000000018dfecbf0 (__TEXT,__text) external _CMGetProfileTransformInfo
00000001d6a2c610 (__DATA,__bss) non-external _CMGetProfileTransformInfo.func
000000018dfecb88 (__TEXT,__text) external _CMGetSystemProfile
00000001d6a2c608 (__DATA,__bss) non-external _CMGetSystemProfile.func
000000018dfecb20 (__TEXT,__text) external _CMGetSystemProfileAVID
00000001d6a2c600 (__DATA,__bss) non-external _CMGetSystemProfileAVID.func
000000018dfecaa4 (__TEXT,__text) external _CMGetSystemProfilePriv
00000001d6a2c5f8 (__DATA,__bss) non-external _CMGetSystemProfilePriv.func
000000018dfeca20 (__TEXT,__text) external _CMIterateCMMInfo
00000001d6a2c5f0 (__DATA,__bss) non-external _CMIterateCMMInfo.func
000000018dfec988 (__TEXT,__text) external _CMIterateColorDevices
00000001d6a2c5e8 (__DATA,__bss) non-external _CMIterateColorDevices.func
000000018dfec8f0 (__TEXT,__text) external _CMIterateColorSyncFolder
00000001d6a2c5e0 (__DATA,__bss) non-external _CMIterateColorSyncFolder.func
000000018dfec850 (__TEXT,__text) external _CMIterateDeviceProfiles
00000001d6a2c5d8 (__DATA,__bss) non-external _CMIterateDeviceProfiles.func
000000018dfec848 (__TEXT,__text) external _CMLaunchControlPanel
000000018dfec7cc (__TEXT,__text) external _CMMakeProfile
00000001d6a2c5d0 (__DATA,__bss) non-external _CMMakeProfile.func
000000018dfec748 (__TEXT,__text) external _CMMatchFloatBitmap
00000001d6a2c5c8 (__DATA,__bss) non-external _CMMatchFloatBitmap.func
000000018dfec6cc (__TEXT,__text) external _CMNewProfile
00000001d6a2c5c0 (__DATA,__bss) non-external _CMNewProfile.func
000000018dfec650 (__TEXT,__text) external _CMOpenProfile
00000001d6a2c5b8 (__DATA,__bss) non-external _CMOpenProfile.func
000000018dfef1dc (__TEXT,__text) external _CMPostLegacyDeviceNotification
00000001d6a2c790 (__DATA,__bss) non-external _CMPostLegacyDeviceNotification.func
000000018dfec578 (__TEXT,__text) external _CMProfileCopyICCData
00000001d6a2c5b0 (__DATA,__bss) non-external _CMProfileCopyICCData.func
000000018dfec490 (__TEXT,__text) external _CMProfileElementExists
00000001d6a2c5a8 (__DATA,__bss) non-external _CMProfileElementExists.func
000000018dfec414 (__TEXT,__text) external _CMProfileModified
00000001d6a2c5a0 (__DATA,__bss) non-external _CMProfileModified.func
000000018dfef164 (__TEXT,__text) external _CMProfileWriteToFile
00000001d6a2c788 (__DATA,__bss) non-external _CMProfileWriteToFile.func
000000018dfec37c (__TEXT,__text) external _CMRegisterColorDevice
00000001d6a2c598 (__DATA,__bss) non-external _CMRegisterColorDevice.func
000000018dfec300 (__TEXT,__text) external _CMRemoveProfileElement
00000001d6a2c590 (__DATA,__bss) non-external _CMRemoveProfileElement.func
000000018dfec284 (__TEXT,__text) external _CMSetDefaultDevice
00000001d6a2c588 (__DATA,__bss) non-external _CMSetDefaultDevice.func
000000018dfec200 (__TEXT,__text) external _CMSetDeviceDefaultProfileID
00000001d6a2c580 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.func
000000018dfec168 (__TEXT,__text) external _CMSetDeviceFactoryProfiles
00000001d6a2c578 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.func
000000018dfec0c8 (__TEXT,__text) external _CMSetDeviceProfile
00000001d6a2c570 (__DATA,__bss) non-external _CMSetDeviceProfile.func
000000018dfec044 (__TEXT,__text) external _CMSetDeviceState
00000001d6a2c568 (__DATA,__bss) non-external _CMSetDeviceState.func
000000018dfebfc0 (__TEXT,__text) external _CMSetDeviceTrackingByUse
00000001d6a2c560 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.func
000000018dfebf44 (__TEXT,__text) external _CMSetGammaByAVID
00000001d6a2c558 (__DATA,__bss) non-external _CMSetGammaByAVID.func
000000018dfebea4 (__TEXT,__text) external _CMSetPartialProfileElement
00000001d6a2c550 (__DATA,__bss) non-external _CMSetPartialProfileElement.func
000000018dfebe28 (__TEXT,__text) external _CMSetProfileByAVID
00000001d6a2c548 (__DATA,__bss) non-external _CMSetProfileByAVID.func
000000018dfebd6c (__TEXT,__text) external _CMSetProfileDescriptions
00000001d6a2c540 (__DATA,__bss) non-external _CMSetProfileDescriptions.func
000000018dfebcd4 (__TEXT,__text) external _CMSetProfileElement
00000001d6a2c538 (__DATA,__bss) non-external _CMSetProfileElement.func
000000018dfebc50 (__TEXT,__text) external _CMSetProfileElementReference
00000001d6a2c530 (__DATA,__bss) non-external _CMSetProfileElementReference.func
000000018dfebbcc (__TEXT,__text) external _CMSetProfileElementSize
00000001d6a2c528 (__DATA,__bss) non-external _CMSetProfileElementSize.func
000000018dfebb50 (__TEXT,__text) external _CMSetProfileHeader
00000001d6a2c520 (__DATA,__bss) non-external _CMSetProfileHeader.func
000000018dfebacc (__TEXT,__text) external _CMSetProfileLocalizedStringDictionary
00000001d6a2c518 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.func
000000018dfeba64 (__TEXT,__text) external _CMSetSystemProfile
00000001d6a2c510 (__DATA,__bss) non-external _CMSetSystemProfile.func
000000018dfef0fc (__TEXT,__text) external _CMSetSystemProfileAVID
00000001d6a2c780 (__DATA,__bss) non-external _CMSetSystemProfileAVID.func
000000018dfeb9e8 (__TEXT,__text) external _CMUnregisterColorDevice
00000001d6a2c508 (__DATA,__bss) non-external _CMUnregisterColorDevice.func
000000018dfeb95c (__TEXT,__text) external _CMUpdateProfile
00000001d6a2c500 (__DATA,__bss) non-external _CMUpdateProfile.func
000000018dfeb874 (__TEXT,__text) external _CMValidateProfile
00000001d6a2c4f8 (__DATA,__bss) non-external _CMValidateProfile.func
000000018dfeb7d4 (__TEXT,__text) external _CWCheckBitmap
00000001d6a2c4f0 (__DATA,__bss) non-external _CWCheckBitmap.func
000000018dfeb73c (__TEXT,__text) external _CWCheckColors
00000001d6a2c4e8 (__DATA,__bss) non-external _CWCheckColors.func
000000018dfeacc4 (__TEXT,__text) external _CWColorWorldGetProperty
00000001d6a2c480 (__DATA,__bss) non-external _CWColorWorldGetProperty.func
000000018dfeac44 (__TEXT,__text) external _CWColorWorldSetProperty
00000001d6a2c478 (__DATA,__bss) non-external _CWColorWorldSetProperty.func
000000018dfeb5ec (__TEXT,__text) external _CWConcatColorWorld
00000001d6a2c4e0 (__DATA,__bss) non-external _CWConcatColorWorld.func
000000018dfeb588 (__TEXT,__text) external _CWDisposeColorWorld
00000001d6a2c4d8 (__DATA,__bss) non-external _CWDisposeColorWorld.func
000000018dfeb4e8 (__TEXT,__text) external _CWFillLookupTexture
00000001d6a2c4d0 (__DATA,__bss) non-external _CWFillLookupTexture.func
000000018dfeb484 (__TEXT,__text) external _CWGetCMMSignature
00000001d6a2c4c8 (__DATA,__bss) non-external _CWGetCMMSignature.func
000000018dfeb3e4 (__TEXT,__text) external _CWMatchBitmap
00000001d6a2c4c0 (__DATA,__bss) non-external _CWMatchBitmap.func
000000018dfeb360 (__TEXT,__text) external _CWMatchColors
00000001d6a2c4b8 (__DATA,__bss) non-external _CWMatchColors.func
000000018dfeb208 (__TEXT,__text) external _CWNewLinkProfile
00000001d6a2c4b0 (__DATA,__bss) non-external _CWNewLinkProfile.func
000000018dfef4f8 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionNumber
000000018dfef4c0 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionString
000000018dfea7c4 (__TEXT,__text) external _ColorSyncLoadLegacyFunction
00000001d6a2c460 (__DATA,__bss) non-external _ColorSyncLoadLegacyFunction.handle
00000001d6a2c418 (__DATA,__data) non-external _ColorSyncLoadLegacyFunction.mtx
                 (undefined) external _ColorSyncProfileGetTypeID (from ColorSync)
000000018dfeae30 (__TEXT,__text) external _CreateCMProfileFromColorSyncProfile
00000001d6a2c7a0 (__DATA,__bss) non-external _CreateCMProfileFromColorSyncProfile.func
000000018dfef25c (__TEXT,__text) external _CreateColorSyncProfileFromCMProfile
00000001d6a2c798 (__DATA,__bss) non-external _CreateColorSyncProfileFromCMProfile.func
000000018dfeb084 (__TEXT,__text) external _DisposeCMBitmapCallBackUPP
000000018dfeb204 (__TEXT,__text) external _DisposeCMConcatCallBackUPP
000000018dfeb200 (__TEXT,__text) external _DisposeCMFlattenUPP
000000018dfeb1fc (__TEXT,__text) external _DisposeCMMIterateUPP
000000018dfeb1f8 (__TEXT,__text) external _DisposeCMProfileAccessUPP
000000018dfeb1f4 (__TEXT,__text) external _DisposeCMProfileIterateUPP
000000018dfeb1f0 (__TEXT,__text) external _InvokeCMBitmapCallBackUPP
000000018dfeb1ec (__TEXT,__text) external _InvokeCMConcatCallBackUPP
000000018dfeb1e8 (__TEXT,__text) external _InvokeCMFlattenUPP
000000018dfeb1e4 (__TEXT,__text) external _InvokeCMMIterateUPP
000000018dfeb1e0 (__TEXT,__text) external _InvokeCMProfileAccessUPP
000000018dfeb1dc (__TEXT,__text) external _InvokeCMProfileIterateUPP
000000018dfeef18 (__TEXT,__text) external _NCMGetProfileLocation
00000001d6a2c770 (__DATA,__bss) non-external _NCMGetProfileLocation.func
000000018dfeef9c (__TEXT,__text) external _NCWConcatColorWorld
00000001d6a2c778 (__DATA,__bss) non-external _NCWConcatColorWorld.func
000000018dfeb088 (__TEXT,__text) external _NCWNewColorWorld
00000001d6a2c4a8 (__DATA,__bss) non-external _NCWNewColorWorld.func
000000018dfeedb4 (__TEXT,__text) external _NCWNewLinkProfile
00000001d6a2c768 (__DATA,__bss) non-external _NCWNewLinkProfile.func
000000018dfeb080 (__TEXT,__text) external _NewCMBitmapCallBackUPP
000000018dfeb07c (__TEXT,__text) external _NewCMConcatCallBackUPP
000000018dfeb078 (__TEXT,__text) external _NewCMFlattenUPP
000000018dfeb074 (__TEXT,__text) external _NewCMMIterateUPP
000000018dfeb070 (__TEXT,__text) external _NewCMProfileAccessUPP
000000018dfeb06c (__TEXT,__text) external _NewCMProfileIterateUPP
                 (undefined) external __CFBundleCopyInfoDictionaryInResourceFork (from CoreFoundation)
                 (undefined) external __CFBundleGetMainBundleIfLooksLikeBundle (from CoreFoundation)
                 (undefined) external __CFProcessPath (from CoreFoundation)
000000018dfeafd4 (__TEXT,__text) external __CMGetProfileOfSuite
00000001d6a2c4a0 (__DATA,__bss) non-external __CMGetProfileOfSuite.func
000000018dfeaf6c (__TEXT,__text) external __CMLoadProfileLutsByAVID
00000001d6a2c498 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.func
000000018dfeae94 (__TEXT,__text) external __CMProfileGetProperty
00000001d6a2c490 (__DATA,__bss) non-external __CMProfileGetProperty.func
000000018dfead3c (__TEXT,__text) external __CMProfileSetProperty
00000001d6a2c488 (__DATA,__bss) non-external __CMProfileSetProperty.func
000000018dfeabcc (__TEXT,__text) external __CWColorWorldGetProperty
00000001d6a2c470 (__DATA,__bss) non-external __CWColorWorldGetProperty.func
000000018dfeab4c (__TEXT,__text) external __CWColorWorldSetProperty
00000001d6a2c468 (__DATA,__bss) non-external __CWColorWorldSetProperty.func
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _dladdr (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _fclose (from libSystem)
00000001d6a2c7a8 (__DATA,__bss) non-external _fetchApplicationName.aName
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBundleIdentifierKey (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
000000018dfef500 (__TEXT,__const) external _kCMIlluminantD50
000000018dfef50c (__TEXT,__const) external _kCMIlluminantD65
                 (undefined) external _localtime (from libSystem)
000000018dfea8dc (__TEXT,__text) non-external _logLegacyCall
00000001d6a2c458 (__DATA,__data) non-external _logLegacyCall.logExists
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _time (from libSystem)
                 (undefined) external _vsnprintf_l (from libSystem)
