00007ffa1aa3e6eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa1aa436ba (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa1aa3bb35 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa1aa4395d (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa1aa3ba64 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa1aa4387c (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa1aa3b599 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa1aa435d9 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa1aa3b8c8 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa1aa4379b (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa1aa3c412 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa1aa3c54e (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa1aa3c530 (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa1aa3c526 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa1aa3c544 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00007ffa1aa3c53a (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa1aa3c444 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa1aa3c51c (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa1aa3df9e (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa1aa3df8a (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa1aa3dd84 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa1aa3df94 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa1aa3defe (__TEXT,__text) non-external -[NFLazy reset]
00007ffa1aa3de30 (__TEXT,__text) non-external -[NFLazy value]
00007ffa1aa430e2 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa1aa4286e (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa1aa430b3 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa1aa42a99 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa1aa430bd (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa1aa42865 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa1aa42ecd (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa1aa42756 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa1aa4276b (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00007ffa1aa430c7 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00007ffa1aa42cdd (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa1aa42909 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa1aa429a4 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa1aa42b27 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa1aa430d1 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00007ffa1aa412c2 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa1aa4122e (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa1aa4121a (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa1aa4134b (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa1aa412fc (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa1aa41359 (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa1aa3b446 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa1aa3b2b4 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa1aa3b3f9 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa1aa3b42d (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa1aa3b414 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa1aa3b403 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa1aa3b437 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa1aa3b41e (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa1aa3f8e2 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa1aa3e801 (__TEXT,__text) non-external -[NFPromise always:]
00007ffa1aa3ee1f (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa1aa3e789 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa1aa3f798 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa1aa3f6c6 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa1aa3e7e5 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa1aa3ed85 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa1aa3f248 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa1aa3f18b (__TEXT,__text) non-external -[NFPromise error]
00007ffa1aa3e707 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa1aa3e479 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa1aa3e669 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa1aa3e30e (__TEXT,__text) non-external -[NFPromise init]
00007ffa1aa3f07f (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa1aa3ef7d (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa1aa3f4ed (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa1aa3f2b2 (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa1aa3f8c7 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa1aa3f8d1 (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa1aa3e7c9 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa1aa3e81d (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa1aa3ef13 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa1aa3eeac (__TEXT,__text) non-external -[NFPromise then]
00007ffa1aa417ac (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00007ffa1aa4180b (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00007ffa1aa40c58 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa1aa4060f (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa1aa40273 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa1aa43d11 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa1aa43df2 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa1aa40c04 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa1aa40c33 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa1aa40200 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa1aa4018d (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa1aa40110 (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa1aa40c4e (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa1aa40736 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa1aa40386 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa1aa4036f (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa1aa403a3 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa1aa4089e (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa1aa43ed3 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa1aa40c0e (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa1aa40c3d (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa1aa40c29 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa1aa40bf3 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa1aa40c1f (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa1aa40be9 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa1aa411e7 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa1aa41032 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa1aa40f39 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa1aa411cc (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa1aa41182 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa1aa40eff (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa1aa40d54 (__TEXT,__text) non-external -[NFReachability init]
00007ffa1aa411b1 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa1aa41196 (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa1aa411d6 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa1aa4118c (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa1aa411bb (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa1aa411a0 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa1aa3dc87 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa1aa3cd22 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa1aa3cca4 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa1aa3cf69 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa1aa43b1f (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa1aa3ce3c (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa1aa43a3e (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa1aa3cdee (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa1aa3cd70 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa1aa3cbb6 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa1aa3cb18 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa1aa3dc3d (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa1aa3d096 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa1aa3c9cd (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa1aa3dc58 (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa1aa3dbfb (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa1aa3dc47 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa1aa3dc62 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa1aa3dc11 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa1aa3dbea (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa1aa3dc2c (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa1aa3dbd6 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa1aa3dc7d (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa1aa3dbe0 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa1aa3dc22 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa1aa3dc73 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa1aa3dbcc (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa1aa4176e (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa1aa41540 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa1aa4173a (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa1aa41755 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa1aa41629 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa1aa4141f (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa1aa41367 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa1aa41463 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa1aa41706 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa1aa41609 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa1aa41744 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa1aa4175f (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa1aa41710 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa1aa41729 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa1aa4171f (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa1aa42345 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa1aa422c8 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa1aa4219e (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa1aa4232c (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa1aa42313 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa1aa4207d (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa1aa42012 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa1aa420c1 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa1aa422af (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa1aa4220f (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa1aa4228f (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa1aa4224f (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa1aa4226f (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa1aa4222f (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa1aa422d2 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa1aa42336 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa1aa4231d (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa1aa422b9 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa1aa42304 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa1aa422eb (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa1aa422fa (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa1aa422e1 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa1aa42399 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa1aa42679 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa1aa4259c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa1aa424f4 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa1aa4244c (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa1aa3b26b (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa1aa3b250 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa1aa3b0fb (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa1aa3b1ff (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa1aa3b21a (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa1aa3aff7 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa1aa3b25a (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa1aa3b209 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa1aa3b224 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa1aa3b1ee (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa1aa3b23f (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa1aa3b1e4 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa1aa3b235 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa1aa3afdb (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa1aa3afe9 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa1aa3af07 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa1aa3af50 (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa1aa3afbc (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa1aa3af64 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa1aa3afcd (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa1aa3f8fd (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa1aa3c955 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa1aa3e0cf (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa1aa3fe9a (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa1aa3ff93 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa1aa3dcce (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa1aa432d1 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00007ffa1aa4323f (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa1aa45c04 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa1aa45c60 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffa1aa45c7c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa1aa3c6e8 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa1aa4349d (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa1aa43fe4 (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00007ffa43019190 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa43019188 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa1aa4334a (__TEXT,__text) external _NFDeviceIsA7
00007ffa1aa43352 (__TEXT,__text) external _NFDeviceIsA8
00007ffa1aa43434 (__TEXT,__text) external _NFDeviceModelString
00007ffa1aa43419 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa1aa4335a (__TEXT,__text) external _NFDevicePlatform
00007ffa1aa43fcc (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00007ffa43019180 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa43019178 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa1aa4340c (__TEXT,__text) external _NFGeneralDeviceString
00007ffa1aa3ae70 (__TEXT,__text) external _NFInternalBuild
00007ffa1aa434c8 (__TEXT,__text) non-external _NFInternalBuild.cold.1
00007ffa430191a0 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00007ffa43019198 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa1aa40c96 (__TEXT,__text) external _NFLockSync
00007ffa1aa4005d (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa1aa3aea6 (__TEXT,__text) external _NFSeedBuild
00007ffa423df938 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa1aa3aeae (__TEXT,__text) external _NFStoreDemoMode
00007ffa1aa434e0 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00007ffa43019170 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa430191a1 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00007ffa1aa4344f (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa1aa44f50 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa1aa44f10 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa430190c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa43019028 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa43019000 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa43018fd8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa430190f0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa43018fb0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa43019050 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa43018f88 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa43018f60 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa43018f38 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa43018f10 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa43018ee8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa43018ec0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa43018e98 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa43018e70 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa43018e48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
