00007ffa19d476eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa19d49d54 (__TEXT,__text) non-external -[NFReachability init]
00007ffa19d4a1b1 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa19d4a196 (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa19d4a1d6 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa19d4a18c (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa19d4a1bb (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa19d4a1a0 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa19d46c87 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa19d45d22 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa19d45ca4 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa19d45f69 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa19d4cb1f (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa19d45e3c (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa19d4ca3e (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa19d45dee (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa19d45d70 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa19d45bb6 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa19d45b18 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa19d46c3d (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa19d46096 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa19d459cd (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa19d46c58 (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa19d46bfb (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa19d46c47 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa19d46c62 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa19d46c11 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa19d46bea (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa19d46c2c (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa19d46bd6 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa19d46c7d (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa19d46be0 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa19d46c22 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa19d46c73 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa19d46bcc (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa19d4a76e (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa19d4a540 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa19d4a73a (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa19d4a755 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa19d4a629 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa19d4a41f (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa19d4a367 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa19d4a463 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa19d4a706 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa19d4a609 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa19d4a744 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa19d4a75f (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa19d4a710 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa19d4a729 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa19d4a71f (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa19d4b345 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa19d4b2c8 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa19d4b19e (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa19d4b32c (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa19d4b313 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa19d4b07d (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa19d4b012 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa19d4b0c1 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa19d4b2af (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa19d4b20f (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa19d4b28f (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa19d4b24f (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa19d4b26f (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa19d4b22f (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa19d4b2d2 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa19d4b336 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa19d4b31d (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa19d4b2b9 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa19d4b304 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa19d4b2eb (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa19d4b2fa (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa19d4b2e1 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa19d4b399 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa19d4b679 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa19d4b59c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa19d4b4f4 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa19d4b44c (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa19d4426b (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa19d44250 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa19d440fb (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa19d441ff (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa19d4421a (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa19d43ff7 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa19d4425a (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa19d44209 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa19d44224 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa19d441ee (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa19d4423f (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa19d441e4 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa19d44235 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa19d43fdb (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa19d43fe9 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa19d43f07 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa19d43f50 (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa19d43fbc (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa19d43f64 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa19d43fcd (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa19d488fd (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa19d45955 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa19d470cf (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa19d48e9a (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa19d48f93 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa19d46cce (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa19d4c2d1 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00007ffa19d4c23f (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa19d4ec04 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa19d4ec60 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffa19d4ec7c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa19d456e8 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa19d4c49d (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa19d4cfe4 (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00007ffa42f50120 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa42f50118 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa19d4c34a (__TEXT,__text) external _NFDeviceIsA7
00007ffa19d4c352 (__TEXT,__text) external _NFDeviceIsA8
00007ffa19d4c434 (__TEXT,__text) external _NFDeviceModelString
00007ffa19d4c419 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa19d4c35a (__TEXT,__text) external _NFDevicePlatform
00007ffa19d4cfcc (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00007ffa42f50110 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa42f50108 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa19d4c40c (__TEXT,__text) external _NFGeneralDeviceString
00007ffa19d43e70 (__TEXT,__text) external _NFInternalBuild
00007ffa19d4c4c8 (__TEXT,__text) non-external _NFInternalBuild.cold.1
00007ffa42f50130 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00007ffa42f50128 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa19d49c96 (__TEXT,__text) external _NFLockSync
00007ffa19d4905d (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa19d43ea6 (__TEXT,__text) external _NFSeedBuild
00007ffa42353958 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa19d43eae (__TEXT,__text) external _NFStoreDemoMode
00007ffa19d4c4e0 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00007ffa42f50100 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa42f50131 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00007ffa19d4c44f (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa19d4df50 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa19d4df10 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa42f50058 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa42f4ffb8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa42f4ff90 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa42f4ff68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa42f50080 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa42f4ff40 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa42f4ffe0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa42f4ff18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa42f4fef0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa42f4fec8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa42f4fea0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa42f4fe78 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa42f4fe50 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa42f4fe28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa42f4fe00 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa42f4fdd8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa43c11c58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa43c11c60 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa43c11c88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
