00000001a0ea3ff8 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a0ea5f64 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001a0ea5fcc (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001a0ea6054 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001a0ea608c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001a0ea6124 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.8
00000001a0e99224 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001a0e9880c (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001a0e98804 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001a0e987e4 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001a0e985d0 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001a0e983a0 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001a0e98240 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00000001a0e98224 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001a0e987cc (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001a0e987fc (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001a0e987ec (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001a0e987f4 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001a0e987d4 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001a0e987dc (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001a0ea17c8 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001a0ea14c8 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001a0ea147c (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001a0ea1358 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00000001a0ea1628 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00000001a0ea1614 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00000001a0e9a35c (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00000001a0e9a2f4 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00000001a0e9a1c0 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00000001a0e9a340 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00000001a0e9e2c8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00000001a0e9e288 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00000001a0e9e298 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00000001a0e9e0d8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00000001a0e9df10 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00000001a0e9dd90 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00000001a0e9dd74 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00000001a0e9e2b8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00000001a0e9e2a8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00000001a0e9e2a0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00000001a0e9e2b0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00000001a0e9e2c0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00000001a0e9e280 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00000001a0e9e290 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00000001a0e9b4dc (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00000001a0e9ae60 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00000001a0e9a870 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00000001a0e9a948 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00000001a0e9a820 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00000001a0e9a818 (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00000001a0e9ae28 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00000001a0e9b4d4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00000001a0e9a7cc (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00000001a0e9b2cc (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00000001a0e9a498 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00000001a0e9aaf8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00000001a0e9b100 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00000001a0e9b1f4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00000001a0e9ae44 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00000001a0e9af4c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00000001a0e9b4b8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00000001a0e9b49c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00000001a0e9b480 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00000001a0e9b464 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00000001a0e9aa20 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00000001a0e9b024 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00000001a0e9b44c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00000001a0e9b434 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00000001a0e9b35c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00000001a0e9ad4c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00000001a0e9ac40 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00000001a0e9dc84 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00000001a0e9d818 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00000001a0e9da3c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00000001a0e9d748 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00000001a0e9d678 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00000001a0e9db60 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00000001a0e923d0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00000001a0e92388 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00000001a0e92390 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00000001a0e923a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00000001a0e92384 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00000001a0e92398 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00000001a0e92238 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
