00000001ebf7b8d0 (__DATA,__data) external _NDR_record
0000000180434070 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180456ee4 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
000000018043cbd0 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001804557ec (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180456430 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180430be4 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180456910 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180455e04 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180430b0c (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000180455198 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180430b00 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000180456d90 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180455ca0 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000018045603c (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180456b50 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180454c30 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000180430ae8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000018045507c (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180430af4 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000001804544ac (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180454d4c (__TEXT,__text) external __kernelrpc_mach_port_peek
000000018045466c (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180434bbc (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180430cd4 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001804335bc (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000018043cab0 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180454f60 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001804552c0 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000018045666c (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180455940 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001804567bc (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180456a30 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180439abc (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180430cc8 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180456550 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180430bf0 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
000000018045b748 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
000000018045b61c (__TEXT,__text) external __kernelrpc_mach_ports_register3
000000018045f254 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180457224 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180430a88 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
000000018045737c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180430aa0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180431ff4 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180430ac4 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180457498 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180430ab8 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
000000018045833c (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180430a94 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001804576d8 (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180457eb0 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001804587d4 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000180458fdc (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
0000000180463b38 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001804556d0 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180435e1c (__TEXT,__text) external __kernelrpc_thread_policy
0000000180436f9c (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001804618e8 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000018043ce34 (__TEXT,__text) external __kernelrpc_vm_map
0000000180462f1c (__TEXT,__text) external __kernelrpc_vm_purgable_control
000000018043a348 (__TEXT,__text) external __kernelrpc_vm_read
00000001804331c8 (__TEXT,__text) external __kernelrpc_vm_remap
0000000180463070 (__TEXT,__text) external __kernelrpc_vm_remap_new
000000018044048c (__TEXT,__text) non-external __libkernel_bzero
00000001ee58c530 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001ef61a318 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001804405f8 (__TEXT,__text) non-external __libkernel_memmove
0000000180440498 (__TEXT,__text) non-external __libkernel_memset
0000000180440454 (__TEXT,__text) non-external __libkernel_strchr
0000000180436a28 (__TEXT,__text) non-external __libkernel_strcmp
00000001804409b4 (__TEXT,__text) non-external __libkernel_strcpy
00000001ee58c520 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
000000018044127c (__TEXT,__text) non-external __libkernel_strlcpy
000000018044020c (__TEXT,__text) non-external __libkernel_strlen
00000001ee58c528 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
0000000180464d20 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001804428c8 (__TEXT,__text) non-external __mach_continuous_time
00000001e817a828 (__DATA_CONST,__const) external __mach_errors
0000000180442e1c (__TEXT,__text) external __mach_fork_child
00000001804437f4 (__TEXT,__text) external __mach_snprintf
0000000180443690 (__TEXT,__text) external __mach_vsnprintf
00000001ee58c5a0 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001ebf7b8f0 (__DATA,__common) external __os_xbs_chrooted
00000001804376ec (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001804409fc (__TEXT,__text) non-external __posix_spawn_with_filter
000000018044534c (__TEXT,__text) external __register_gethostuuid_callback
0000000180440710 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00000001804407b4 (__TEXT,__text) non-external __system_version_compat_open_shim
00000001ee58c544 (__DATA_DIRTY,__bss) non-external __task_reply_port
0000000180440114 (__TEXT,__text) external __thread_set_tsd_base
0000000180464228 (__TEXT,__text) non-external _abort
0000000180464228 (__TEXT,__text) non-external _abort.572
0000000180464228 (__TEXT,__text) non-external _abort.574
0000000180464228 (__TEXT,__text) non-external _abort.591
00000001804642f8 (__TEXT,__text) external _abort_with_payload
000000018046426c (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000018046424c (__TEXT,__text) external _abort_with_reason
0000000180439464 (__TEXT,__text) external _accept
000000018043d8f0 (__TEXT,__text) external _accept$NOCANCEL
0000000180431644 (__TEXT,__text) external _access
000000018043d91c (__TEXT,__text) external _accessx_np
000000018043eb6c (__TEXT,__text) external _acct
0000000180460278 (__TEXT,__text) external _act_get_state
00000001804604c0 (__TEXT,__text) external _act_set_state
000000018043eb98 (__TEXT,__text) external _adjtime
000000018043ebc4 (__TEXT,__text) external _aio_cancel
000000018043ebf0 (__TEXT,__text) external _aio_error
000000018043ec1c (__TEXT,__text) external _aio_fsync
000000018043ec48 (__TEXT,__text) external _aio_read
000000018043ec74 (__TEXT,__text) external _aio_return
000000018043eca0 (__TEXT,__text) external _aio_suspend
000000018043d948 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000018043eccc (__TEXT,__text) external _aio_write
000000018043ecf8 (__TEXT,__text) external _audit
000000018043c588 (__TEXT,__text) external _audit_session_join
000000018043c374 (__TEXT,__text) external _audit_session_port
0000000180434e2c (__TEXT,__text) external _audit_session_self
000000018043ed24 (__TEXT,__text) external _auditctl
000000018043a528 (__TEXT,__text) external _auditon
00000001804388c8 (__TEXT,__text) external _bind
00000001ee58c56c (__DATA_DIRTY,__common) external _bootstrap_port
00000001804401fc (__TEXT,__text) non-external _bzero
0000000180432494 (__TEXT,__text) external _cerror
00000001804315d8 (__TEXT,__text) external _cerror_nocancel
0000000180434d68 (__TEXT,__text) external _change_fdguard_np
0000000180432614 (__TEXT,__text) external _chdir
0000000180438dc8 (__TEXT,__text) external _chflags
00000001804347dc (__TEXT,__text) external _chmod
000000018043889c (__TEXT,__text) external _chown
000000018043ed50 (__TEXT,__text) external _chroot
000000018044f098 (__TEXT,__text) external _clock_alarm
000000018044ee64 (__TEXT,__text) external _clock_alarm_reply
000000018044eecc (__TEXT,__text) external _clock_get_attributes
00000001804362d4 (__TEXT,__text) external _clock_get_time
000000018044ed14 (__TEXT,__text) external _clock_set_attributes
000000018044ebfc (__TEXT,__text) external _clock_set_time
000000018043cd90 (__TEXT,__text) external _clock_sleep
0000000180430ca4 (__TEXT,__text) external _clock_sleep_trap
000000018043ac74 (__TEXT,__text) external _clonefile
0000000180435ad0 (__TEXT,__text) external _clonefileat
00000001804317a8 (__TEXT,__text) external _close
000000018043243c (__TEXT,__text) external _close$NOCANCEL
000000018044b3ec (__TEXT,__text) external _coalition_create
000000018044b494 (__TEXT,__text) external _coalition_info_debug_info
000000018044b45c (__TEXT,__text) external _coalition_info_resource_usage
000000018044b504 (__TEXT,__text) external _coalition_info_set_efficiency
000000018044b4cc (__TEXT,__text) external _coalition_info_set_name
000000018044b540 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
000000018043ed7c (__TEXT,__text) external _coalition_policy_get
000000018043eda8 (__TEXT,__text) external _coalition_policy_set
000000018044b42c (__TEXT,__text) external _coalition_reap
000000018044b3fc (__TEXT,__text) external _coalition_terminate
00000001804350f8 (__TEXT,__text) external _connect
0000000180434f60 (__TEXT,__text) external _connect$NOCANCEL
000000018043517c (__TEXT,__text) external _connectx
0000000180432794 (__TEXT,__text) external _csops
00000001804315ac (__TEXT,__text) external _csops_audittoken
000000018043169c (__TEXT,__text) external _csr_check
00000001804397fc (__TEXT,__text) external _csr_get_active_config
0000000180430d40 (__TEXT,__text) external _debug_control_port_for_pid
000000018044b734 (__TEXT,__text) external _debug_syscall_reject
000000018044b620 (__TEXT,__text) external _debug_syscall_reject_config
00000001ebf7b8c8 (__DATA,__data) external _denap_boost_assertion_token
