00007ff80b3b57fc (__TEXT,__text) non-external _Annihilate
00007ff80b3af02c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80b3e8d74 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80b3eafa4 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80b3ebf88 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80b3ecf6c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80b3edf50 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80b3eef34 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80b3eff18 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80b3f0efc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80b3f1f61 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80b3e8fdc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80b3e9fc0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80b3c55fe (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80b3d8894 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80b3cc631 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80b3c4bba (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80b3cc502 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80b3bb440 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80b3bb511 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80b3bb5ec (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80b3bb4dc (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80b3bfafc (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80b3bfaf3 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80b3bf9d4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80b3c1edc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80b3bfab5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80b3bfa9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80b3bb3f4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80b3c1ea1 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80b3c1e11 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80b3c1ca4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80b3c1d9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80b3bfa08 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80b3bfb20 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80b3bb170 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80b3bb17d (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80b3b647f (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80b3a7407 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80b3a93cc (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80b3a7188 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80b3a72d9 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80b3ae334 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80b3aa51e (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80b3a73dd (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80b3a70e0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80b3ae347 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80b3ae3b9 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80b3be24c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80b3c4378 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80b3e6a84 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80b3b5708 (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80b3b58c5 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80b3cfce8 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80b3c891c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80b3c9715 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80b3c7b23 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80b3c851e (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80b3c9317 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80b3c7725 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80b3c8b2d (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80b3c9926 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80b3c7d34 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80b3c89aa (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80b3c97a3 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80b3c7bb1 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80b3bb242 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80b3b6469 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80b3f51d1 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80b3cfc84 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80b3b55ad (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80b3ca6db (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80b3e877a (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80b3f6d41 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80b3c4e05 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80b3d5584 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80b3d5a88 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80b3d5080 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80b41c650 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80b3bb2a5 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80b3c4b0f (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80b3b58d2 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80b3b64ba (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80b3d0fb4 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80b450a08 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80b450a02 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80b4509f0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80b3d1a11 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80b3d4289 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80b3b50dc (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b3f2fc6 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b3d38d5 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80b3d468c (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80b3cfcf5 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80b3bb256 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80b3b574c (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80b3c51f3 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80b3caa1d (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80b3ca700 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80b3d2760 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80b3b5381 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80b3d3c08 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80b3b5199 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80b3d3b40 (__TEXT,__text) non-external _BuildHistograms
00007ff80b3fc410 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80b3fc510 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80b3ae3c4 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80b3b5640 (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80b3f5aca (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80b3cc48d (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80b3f7703 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80b3bdbc4 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80b3d8a68 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80b3d9c84 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80b3e306f (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80b3da986 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80b3de51b (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80b3df959 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80b3e0dec (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80b3dbb08 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80b3e237f (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80b3e408b (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80b3dcfa8 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80b3e509a (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80b3fc300 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80b3bffe1 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80b3bdd52 (__TEXT,__text) non-external _DecodeContextMap
00007ff80b3c0b14 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80b3c0577 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80b3bc906 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80b3bcf11 (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80b3b505c (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80b3d2c6b (__TEXT,__text) non-external _EncodeContextMap
00007ff80b3aa654 (__TEXT,__text) non-external _EncodeData
00007ff80b3cc2bc (__TEXT,__text) non-external _EvaluateNode
00007ff80b3ae73d (__TEXT,__text) non-external _GetBrotliStorage
00007ff80b3ae7ab (__TEXT,__text) non-external _GetHashTable
00007ff80b3fc200 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80b4729b0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80b3fc180 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80b3cb878 (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80b3aa53c (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80b3bfbc5 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80b3c68de (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80b3c6892 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80b3c67bd (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80b3ae6d9 (__TEXT,__text) non-external _PrepareH54
00007ff80b3ae672 (__TEXT,__text) non-external _PrepareH6
00007ff80b3be2f0 (__TEXT,__text) non-external _ProcessCommands
00007ff80b3bd0ee (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80b3bfc7b (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80b3c079e (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80b3c01c0 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80b3bfb2b (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80b3bedf0 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80b3bc7b0 (__TEXT,__text) non-external _SaveErrorCode
00007ff80b3cda2e (__TEXT,__text) non-external _SetCost
00007ff80b3cff10 (__TEXT,__text) non-external _Shift
00007ff80b3ae40c (__TEXT,__text) non-external _ShouldCompress
00007ff80b3fc310 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80b3b5787 (__TEXT,__text) non-external _SortPointers
00007ff80b3fc8b0 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80b4517d0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80b4515d0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80b3d2614 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80b3d3fb6 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80b3d353a (__TEXT,__text) non-external _StoreSymbol
00007ff80b3d36fe (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80b3d2a27 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80b3d481f (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80b3cba23 (__TEXT,__text) non-external _UpdateNodes
00007ff80b3bf9a0 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80b3bc7c4 (__TEXT,__text) non-external _WriteRingBuffer
00007ff80b3cb8ea (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff8423165f8 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80b3c30af (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80b4589a0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80b450db0 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80b3fc620 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80b458ba0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80b3f4f11 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80b39f30a (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80b39d1ed (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80b3f4dec (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80b3f513b (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80b39d09f (__TEXT,__text) non-external (was a private external) _adler32
00007ff80b3c1f4a (__TEXT,__text) non-external (was a private external) _adler32_combine
00007ff80b3c2032 (__TEXT,__text) non-external (was a private external) _adler32_combine64
00007ff80b3c1f54 (__TEXT,__text) non-external _adler32_combine_
00007ff80b3a6bd0 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80b39d0a9 (__TEXT,__text) non-external (was a private external) _adler32_z
00007ff80b459390 (__TEXT,__const) non-external _base_dist
00007ff80b459310 (__TEXT,__const) non-external _base_length
00007ff80b3f50b9 (__TEXT,__text) non-external _bi_flush
00007ff80b3a0e34 (__TEXT,__text) non-external _bi_windup
00007ff80b4592f0 (__TEXT,__const) non-external _bl_order
00007ff80b450ad0 (__TEXT,__const) non-external _breverse.brev8
00007ff80b3f35d1 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80b3f3606 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80b3f3642 (__TEXT,__text) non-external (was a private external) _brotli_stream_decode
00007ff80b3f3681 (__TEXT,__text) non-external (was a private external) _brotli_stream_encode
00007ff80b3f37ec (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80b3f3704 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80b3f36e5 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80b39fe3e (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80b3a0a3f (__TEXT,__text) non-external _compress_block
00007ff80b3a2845 (__TEXT,__text) external _compression_decode_buffer
00007ff80b3a2767 (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80b3e8a83 (__TEXT,__text) external _compression_encode_buffer
00007ff80b3e897c (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80b3a0fee (__TEXT,__text) external _compression_stream_destroy
00007ff80b3c4286 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80b3c4230 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80b3c41e8 (__TEXT,__text) external _compression_stream_get_state_size
00007ff80b3c4166 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80b39cac0 (__TEXT,__text) external _compression_stream_init
00007ff80b3c411f (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80b3c42dc (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80b39d8c7 (__TEXT,__text) external _compression_stream_process
00007ff80b3a2e8f (__TEXT,__text) external _compression_stream_reinit
00007ff842316e70 (__DATA,__const) non-external _configuration_table
00007ff80b3d702e (__TEXT,__text) external _cosmix_codec_decode
00007ff80b3d668a (__TEXT,__text) external _cosmix_codec_encode
00007ff80b3d6f4f (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80b3d7b43 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80b3d79b3 (__TEXT,__text) external _cosmix_codec_map
00007ff80b3d7afb (__TEXT,__text) external _cosmix_codec_unmap
00007ff80b3d75d7 (__TEXT,__text) external _cosmix_model_create
00007ff80b3d770e (__TEXT,__text) external _cosmix_model_destroy
00007ff80b3d7737 (__TEXT,__text) external _cosmix_model_save_codec
00007ff80b3d5f8c (__TEXT,__text) external _cosmix_model_update
00007ff80b3f3090 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80b3f334b (__TEXT,__text) non-external (was a private external) _crc32_combine
00007ff80b3f3574 (__TEXT,__text) non-external (was a private external) _crc32_combine64
00007ff80b3f3355 (__TEXT,__text) non-external _crc32_combine_
00007ff80b451830 (__TEXT,__const) non-external _crc_table
00007ff80b3bb18a (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80b3fb8f2 (__TEXT,__text) non-external (was a private external) _debug_verify_offsets
00007ff80b39dac0 (__TEXT,__text) non-external (was a private external) _deflate
00007ff80b3fb0ae (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80b3fb1b6 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80b3a0f03 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80b39cc8c (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80b3fadd7 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80b3faf87 (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80b3faf5a (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80b39cf4d (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80b3fae01 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80b3faf35 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80b3fb07a (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80b45a0d0 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80b3fb557 (__TEXT,__text) non-external _deflate_fast
00007ff80b39e9ef (__TEXT,__text) non-external _deflate_slow
00007ff80b3fb399 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80b3d09aa (__TEXT,__text) non-external _emitMatch
00007ff80b4592a0 (__TEXT,__const) non-external _extra_blbits
00007ff80b459220 (__TEXT,__const) non-external _extra_dbits
00007ff80b4591a0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80b39eee0 (__TEXT,__text) non-external _fill_window
00007ff80b3a0ea4 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80b459f60 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80b4594e0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80b459620 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80b3f3083 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80b3ca699 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80b3c203c (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80b3c2054 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80b3c2068 (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80b3ca665 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
00007ff80b3c6af4 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80b3f4d64 (__TEXT,__text) non-external _init_quantization_lut
00007ff80b3bb224 (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80b41a9c0 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80b3fc030 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80b3fc090 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff842316430 (__DATA,__const) non-external _kBrotliDictionary
00007ff80b3fc8d0 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80b3fbf70 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80b3fbfd0 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80b45a120 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80b41c620 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff842316e20 (__DATA,__const) non-external _kBrotliTransforms
00007ff80b3fc6b0 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80b41ab60 (__TEXT,__const) non-external _kCmdLut
00007ff80b44dfa0 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80b41ab20 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80b44df80 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80b41ab40 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80b41ab50 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80b41c490 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80b41c450 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80b41c9e0 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80b41ca20 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80b41c390 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80b41c370 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80b41c400 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80b41c3e0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80b44eaf0 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80b44dff0 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80b44bae0 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80b44bbc0 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80b3fbc40 (__TEXT,__const) non-external _kReverseBits
00007ff80b4503b0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80b4500f0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80b41cb70 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80b46a930 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80b45a930 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80b42cb70 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff80b450970 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff80b450930 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
