0000000180482f3c (__TEXT,__text) external _OSAtomicAdd32
0000000180482834 (__TEXT,__text) non-external (was a private external) __simple_asl_init
0000000180482a14 (__TEXT,__text) non-external __simple_asl_init_context
00000001804817cc (__TEXT,__text) external __simple_asl_log
0000000180481850 (__TEXT,__text) external __simple_asl_log_prog
0000000180481890 (__TEXT,__text) external __simple_asl_msg_new
00000001804818dc (__TEXT,__text) external __simple_asl_msg_set
0000000180481bc0 (__TEXT,__text) external __simple_asl_send
00000001804845a0 (__TEXT,__text) external __simple_dprintf
0000000180483b34 (__TEXT,__text) external __simple_esappend
0000000180481a20 (__TEXT,__text) external __simple_esprintf
000000018048264c (__TEXT,__text) external __simple_getenv
000000018048470c (__TEXT,__text) external __simple_put
0000000180484714 (__TEXT,__text) external __simple_putline
0000000180481020 (__TEXT,__text) external __simple_salloc
0000000180481b24 (__TEXT,__text) external __simple_sappend
0000000180481440 (__TEXT,__text) external __simple_sfree
00000001804810cc (__TEXT,__text) external __simple_sprintf
0000000180481b8c (__TEXT,__text) external __simple_sresize
0000000180481430 (__TEXT,__text) external __simple_string
0000000180484440 (__TEXT,__text) external __simple_vdprintf
00000001804832b4 (__TEXT,__text) external __simple_vesprintf
00000001804810a4 (__TEXT,__text) external __simple_vsprintf
0000000180482d98 (__TEXT,__text) external __spin_lock
0000000180484df4 (__TEXT,__text) external __spin_lock_try
0000000180482db4 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001e9d3d868 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
0000000180484d00 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
00000001804814d4 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
0000000180480308 (__TEXT,__text) external _ffs
0000000180480320 (__TEXT,__text) external _ffsl
0000000180480320 (__TEXT,__text) external _ffsll
0000000180480338 (__TEXT,__text) external _fls
0000000180480348 (__TEXT,__text) external _flsl
0000000180480348 (__TEXT,__text) external _flsll
00000001e79111b8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180485ee4 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
0000000180481104 (__TEXT,__text) non-external _hex
0000000180480f4c (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180485bf8 (__TEXT,__text) external _makecontext
0000000180485464 (__TEXT,__text) non-external (was a private external) _memset
000000018048475c (__TEXT,__text) non-external _oct
0000000180482e1c (__TEXT,__text) external _os_lock_lock
000000018048317c (__TEXT,__text) external _os_lock_trylock
0000000180482e4c (__TEXT,__text) external _os_lock_unlock
0000000180483c94 (__TEXT,__text) external _os_log_simple_now
0000000180483c98 (__TEXT,__text) external _os_log_simple_type_from_asl
0000000180486618 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
0000000180485254 (__TEXT,__text) external _os_sync_wait_on_address
00000001804850bc (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
00000001804851b4 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
000000018048536c (__TEXT,__text) external _os_sync_wake_by_address_all
00000001804852e4 (__TEXT,__text) external _os_sync_wake_by_address_any
00000001804809a0 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
00000001804861a0 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001804802d8 (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180486178 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
00000001804802b0 (__TEXT,__text) external _os_unfair_lock_lock
0000000180484f44 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180484f78 (__TEXT,__text) external _os_unfair_lock_lock_with_flags
000000018047ffa0 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180480d48 (__TEXT,__text) external _os_unfair_lock_trylock
0000000180484e28 (__TEXT,__text) external _os_unfair_lock_trylock_with_options
000000018047ffc4 (__TEXT,__text) external _os_unfair_lock_unlock
0000000180484f64 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
000000018047ffe0 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180484f9c (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180481fd4 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000180480dbc (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180480034 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180484fb8 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001804861c8 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180485d1c (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180485db8 (__TEXT,__text) external _setcontext
0000000180480f0c (__TEXT,__text) external _setjmp
0000000180480f40 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180480f00 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
0000000180482d98 (__TEXT,__text) external _spin_lock
0000000180484df4 (__TEXT,__text) external _spin_lock_try
0000000180482db4 (__TEXT,__text) external _spin_unlock
0000000180485b3c (__TEXT,__text) external _swapcontext
0000000180484c20 (__TEXT,__text) external _sys_cache_control
0000000180484d20 (__TEXT,__text) external _sys_dcache_flush
0000000180484c6c (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180485f6c (__TEXT,__text) external _timingsafe_enable_if_supported
0000000180485f80 (__TEXT,__text) external _timingsafe_restore_if_supported
0000000180481df4 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180484918 (__TEXT,__text) non-external _ydec
