00007ff843adf990 (__DATA,__data) external _NDR_record
00007ff801e9533c (__TEXT,__text) external ___lchown
00007ff801e953c3 (__TEXT,__text) external ___libkernel_init
00007ff801e9c8c8 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff801e9c818 (__TEXT,__text) external ___libkernel_init_late
00007ff801e95617 (__TEXT,__text) external ___libkernel_platform_init
00007ff801e90f0f (__TEXT,__text) external ___libkernel_voucher_init
00007ff801e978b8 (__TEXT,__text) external ___listen
00007ff801e9b3e8 (__TEXT,__text) external ___log_data
00007ff801e91ff0 (__TEXT,__text) external ___lseek
00007ff801e951c0 (__TEXT,__text) external ___lstat64_extended
00007ff801e9b400 (__TEXT,__text) external ___lstat_extended
00007ff801e9b418 (__TEXT,__text) external ___mac_execve
00007ff801e9b430 (__TEXT,__text) external ___mac_get_fd
00007ff801e9b448 (__TEXT,__text) external ___mac_get_file
00007ff801e9b460 (__TEXT,__text) external ___mac_get_link
00007ff801e9b478 (__TEXT,__text) external ___mac_get_mount
00007ff801e9b490 (__TEXT,__text) external ___mac_get_pid
00007ff801e9b4a8 (__TEXT,__text) external ___mac_get_proc
00007ff801e9b4c0 (__TEXT,__text) external ___mac_getfsstat
00007ff801e9b4d8 (__TEXT,__text) external ___mac_mount
00007ff801e9b4f0 (__TEXT,__text) external ___mac_set_fd
00007ff801e9b508 (__TEXT,__text) external ___mac_set_file
00007ff801e9b520 (__TEXT,__text) external ___mac_set_link
00007ff801e9786c (__TEXT,__text) external ___mac_set_proc
00007ff801e92088 (__TEXT,__text) external ___mac_syscall
00007ff801e9b538 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff801e9b550 (__TEXT,__text) external ___mach_eventlink_signal
00007ff801e9b568 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff801e9b580 (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff801e9b598 (__TEXT,__text) external ___map_with_linking_np
00007ff801e9b5b0 (__TEXT,__text) external ___memorystatus_available_memory
00007ff801e9b5c8 (__TEXT,__text) external ___microstackshot
00007ff801e9b5e0 (__TEXT,__text) external ___mkdir_extended
00007ff801e9b5f8 (__TEXT,__text) external ___mkfifo_extended
00007ff801e91678 (__TEXT,__text) external ___mmap
00007ff801e93b54 (__TEXT,__text) external ___mprotect
00007ff801e9b610 (__TEXT,__text) external ___msgctl
00007ff801e9b628 (__TEXT,__text) external ___msgrcv_nocancel
00007ff801e9b640 (__TEXT,__text) external ___msgsnd_nocancel
00007ff801e9b658 (__TEXT,__text) external ___msgsys
00007ff801e95b08 (__TEXT,__text) external ___msync
00007ff801e9b670 (__TEXT,__text) external ___msync_nocancel
00007ff801e938b0 (__TEXT,__text) external ___munmap
00007ff801e9b688 (__TEXT,__text) external ___nexus_create
00007ff801e9b6a0 (__TEXT,__text) external ___nexus_deregister
00007ff801e9b6b8 (__TEXT,__text) external ___nexus_destroy
00007ff801e9b6d0 (__TEXT,__text) external ___nexus_get_opt
00007ff801e9b6e8 (__TEXT,__text) external ___nexus_open
00007ff801e9b700 (__TEXT,__text) external ___nexus_register
00007ff801e9b718 (__TEXT,__text) external ___nexus_set_opt
00007ff801e9130c (__TEXT,__text) external ___open
00007ff801e952ac (__TEXT,__text) external ___open_dprotected_np
00007ff801e9aae8 (__TEXT,__text) external ___open_extended
00007ff801e915c0 (__TEXT,__text) external ___open_nocancel
00007ff801e91fa8 (__TEXT,__text) external ___openat
00007ff801e9b730 (__TEXT,__text) external ___openat_dprotected_np
00007ff801e9536c (__TEXT,__text) external ___openat_nocancel
00007ff843adfa18 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff801ea76bd (__TEXT,__text) external ___os_nexus_flow_add
00007ff801ea7726 (__TEXT,__text) external ___os_nexus_flow_del
00007ff801ea7848 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff801ea7542 (__TEXT,__text) external ___os_nexus_ifattach
00007ff801ea7628 (__TEXT,__text) external ___os_nexus_ifdetach
00007ff801e9b748 (__TEXT,__text) external ___oslog_coproc
00007ff801e9b760 (__TEXT,__text) external ___oslog_coproc_reg
00007ff801e93c24 (__TEXT,__text) external ___persona
00007ff801e95b20 (__TEXT,__text) external ___pipe
00007ff801e9b778 (__TEXT,__text) external ___poll_nocancel
00007ff801e96688 (__TEXT,__text) external ___posix_spawn
00007ff801e9b790 (__TEXT,__text) external ___pread_nocancel
00007ff801e9b7a8 (__TEXT,__text) external ___preadv_nocancel
00007ff801e91bd8 (__TEXT,__text) external ___proc_info
00007ff801e9b7c0 (__TEXT,__text) external ___proc_info_extended_id
00007ff801e96d1c (__TEXT,__text) external ___process_policy
00007ff801e95958 (__TEXT,__text) external ___pselect
00007ff801e9b7d8 (__TEXT,__text) external ___pselect_nocancel
00007ff801e93704 (__TEXT,__text) external ___psynch_cvbroad
00007ff801e93bc4 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff801e947ac (__TEXT,__text) external ___psynch_cvsignal
00007ff801e936ec (__TEXT,__text) external ___psynch_cvwait
00007ff801e92fa0 (__TEXT,__text) external ___psynch_mutexdrop
00007ff801e92e68 (__TEXT,__text) external ___psynch_mutexwait
00007ff801e9b7f0 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff801e9b808 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff801e94e50 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff801e94e38 (__TEXT,__text) external ___psynch_rw_unlock
00007ff801e9b820 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff801e9b838 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff801e94e20 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff801e9b850 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff801e9a854 (__TEXT,__text) external ___pthread_canceled
00007ff801e96378 (__TEXT,__text) external ___pthread_chdir
00007ff801e96360 (__TEXT,__text) external ___pthread_fchdir
00007ff801e9783c (__TEXT,__text) external ___pthread_kill
00007ff801e9b868 (__TEXT,__text) external ___pthread_markcancel
00007ff801e968cc (__TEXT,__text) external ___pthread_sigmask
00007ff801e97c54 (__TEXT,__text) external ___ptrace
00007ff801e9b880 (__TEXT,__text) external ___pwrite_nocancel
00007ff801e9b898 (__TEXT,__text) external ___pwritev_nocancel
00007ff801e92448 (__TEXT,__text) external ___read_nocancel
00007ff801e9b8b0 (__TEXT,__text) external ___readv_nocancel
00007ff801e9b8c8 (__TEXT,__text) external ___reboot
00007ff801e9b8e0 (__TEXT,__text) external ___record_system_event
00007ff801e94250 (__TEXT,__text) external ___recvfrom
00007ff801e94120 (__TEXT,__text) external ___recvfrom_nocancel
00007ff801e94560 (__TEXT,__text) external ___recvmsg
00007ff801e9b8f8 (__TEXT,__text) external ___recvmsg_nocancel
00007ff8438d7c50 (__DATA_DIRTY,__bss) non-external ___remove_counter
00007ff801e9398c (__TEXT,__text) external ___rename
00007ff801e9b910 (__TEXT,__text) external ___renameat
00007ff801e9b928 (__TEXT,__text) external ___renameatx_np
00007ff801e939c4 (__TEXT,__text) external ___rmdir
00007ff801e9b418 (__TEXT,__text) external ___sandbox_me
00007ff801e9b4d8 (__TEXT,__text) external ___sandbox_mm
00007ff801e92088 (__TEXT,__text) external ___sandbox_ms
00007ff801e9786c (__TEXT,__text) external ___sandbox_msp
00007ff801e999f4 (__TEXT,__text) external ___select
00007ff801e94108 (__TEXT,__text) external ___select_nocancel
00007ff801e9864c (__TEXT,__text) external ___sem_open
00007ff801e9b940 (__TEXT,__text) external ___sem_wait_nocancel
00007ff801e9b958 (__TEXT,__text) external ___semctl
00007ff801e9b970 (__TEXT,__text) external ___semsys
00007ff801e935b8 (__TEXT,__text) external ___semwait_signal
00007ff801e968e4 (__TEXT,__text) external ___semwait_signal_nocancel
00007ff801e95384 (__TEXT,__text) external ___sendmsg
00007ff801e94150 (__TEXT,__text) external ___sendmsg_nocancel
00007ff801e94238 (__TEXT,__text) external ___sendto
00007ff801e940c0 (__TEXT,__text) external ___sendto_nocancel
00007ff801e936a4 (__TEXT,__text) external ___setattrlist
00007ff801e9a5dc (__TEXT,__text) external ___setlogin
00007ff801e973f8 (__TEXT,__text) external ___setpriority
00007ff801e9b988 (__TEXT,__text) external ___setregid
00007ff801e9b9a0 (__TEXT,__text) external ___setreuid
00007ff801e92e8c (__TEXT,__text) external ___setrlimit
00007ff801e9b9b8 (__TEXT,__text) external ___setsgroups
00007ff801e98474 (__TEXT,__text) external ___settid
00007ff801e9b9d0 (__TEXT,__text) external ___settid_with_pid
00007ff801e9b9e8 (__TEXT,__text) external ___settimeofday
00007ff801e9ba00 (__TEXT,__text) external ___setwgroups
00007ff801e986a4 (__TEXT,__text) external ___sfi_ctl
00007ff801e9ba18 (__TEXT,__text) external ___sfi_pidctl
00007ff801e9ba30 (__TEXT,__text) external ___shared_region_check_np
00007ff801e9ba48 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff801e91f78 (__TEXT,__text) external ___shm_open
00007ff801e9ba60 (__TEXT,__text) external ___shmctl
00007ff801e9ba78 (__TEXT,__text) external ___shmsys
00007ff801e95b6c (__TEXT,__text) external ___sigaction
00007ff801e9365c (__TEXT,__text) external ___sigaltstack
00007ff801e9a1bc (__TEXT,__text) external ___sigreturn
00007ff801e9ba90 (__TEXT,__text) external ___sigsuspend
00007ff801e96910 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff801e9a1ec (__TEXT,__text) external ___sigwait
00007ff801e94138 (__TEXT,__text) external ___socketpair
00007ff801e9baa8 (__TEXT,__text) external ___stack_snapshot_with_config
00007ff801e95190 (__TEXT,__text) external ___stat64_extended
00007ff801e9bac0 (__TEXT,__text) external ___stat_extended
00007ff801ea22b9 (__TEXT,__text) non-external ___statfs_ext_impl
00007ff801e927b0 (__TEXT,__text) external ___syscall
00007ff843adf9e0 (__DATA,__common) external ___syscall_logger
00007ff801e91ec0 (__TEXT,__text) external ___sysctl
00007ff801e9202c (__TEXT,__text) external ___sysctlbyname
00007ff801e9bad8 (__TEXT,__text) external ___telemetry
00007ff801e992b8 (__TEXT,__text) external ___terminate_with_payload
00007ff801e922f4 (__TEXT,__text) external ___thread_selfid
00007ff801e9baf0 (__TEXT,__text) external ___thread_selfusage
00007ff801e9230c (__TEXT,__text) external ___ulock_wait
00007ff801e9bb08 (__TEXT,__text) external ___ulock_wait2
00007ff801e92390 (__TEXT,__text) external ___ulock_wake
00007ff801e9bb20 (__TEXT,__text) external ___umask_extended
00007ff801e93c54 (__TEXT,__text) external ___unlink
00007ff801e98958 (__TEXT,__text) external ___unlinkat
00007ff801e9bb38 (__TEXT,__text) external ___vfork
00007ff801e96880 (__TEXT,__text) external ___wait4
00007ff801e9aad0 (__TEXT,__text) external ___wait4_nocancel
00007ff801e9bb90 (__TEXT,__text) external ___waitid_nocancel
00007ff801e97db8 (__TEXT,__text) external ___work_interval_ctl
00007ff801e9227c (__TEXT,__text) external ___workq_kernreturn
00007ff801e92294 (__TEXT,__text) external ___workq_open
00007ff801e93bdc (__TEXT,__text) external ___write_nocancel
00007ff801e9bba8 (__TEXT,__text) external ___writev_nocancel
00007ff843adf9d8 (__DATA,__common) external __cpu_capabilities
00007ff843adf9d4 (__DATA,__common) external __cpu_has_altivec
00007ff8438d7c00 (__DATA_DIRTY,__data) non-external (was a private external) __current_pid
00007ff8438d7c28 (__DATA_DIRTY,__bss) non-external __dlsym
00007ff801e90bf4 (__TEXT,__text) external __exclaves_ctl_trap
00007ff801e9d858 (__TEXT,__text) non-external __execve_with_filter
00007ff801e96928 (__TEXT,__text) external __exit
00007ff801e955ec (__TEXT,__text) external __get_cpu_capabilities
00007ff843adfa00 (__DATA,__bss) non-external __gethostuuid_callback
00007ff801ea143f (__TEXT,__text) external __getprivatesystemidentifier
00007ff801eac320 (__TEXT,__text) external __host_page_size
00007ff801e955db (__TEXT,__text) external __init_cpu_capabilities
00007ff801ead098 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff801eae104 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff801eaebae (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff801eae01d (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff801eaea72 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff801e909e4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff801eb022d (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff801eaf601 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff801e90a38 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff801eae2f9 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff801e909f0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff801eae216 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff801eaf73b (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff801e90a44 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff801eaf096 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff801eaf3e3 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff801e90a2c (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff801e98dba (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff801e99610 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff801e90aec (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff801e94ea2 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff801e93494 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff801eb00d2 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff801e9a719 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff801eaeded (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff801eaf826 (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff801e90af8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff801eafc0e (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff801eaf2fc (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff801e90a20 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff801eae88c (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff801e90a14 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff801eaffad (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff801eaf1c9 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff801eaf4cc (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff801eafde4 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff801eae3df (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff801e909fc (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff801eae7a4 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff801e90a08 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff801eadde5 (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff801eae4ca (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff801eadf36 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff801e93c83 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff801e90be8 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff801e92c4b (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff801e9a629 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff801eae6ba (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff801eae989 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff801eaf9f8 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff801eaeeff (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff801eafafc (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff801eafcf9 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff801e97e54 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff801e90bdc (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff801eaf911 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff801e90b04 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff801eb3db3 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00007ff801eb3cb9 (__TEXT,__text) external __kernelrpc_mach_ports_register3
00007ff801eb6d8c (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff801eb0360 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff801e9099c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff801eb048c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff801e909b4 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff801e91bee (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff801e909d8 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff801eb0573 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff801e909cc (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff801eb1214 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff801e909a8 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff801eb074d (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff801eb0e0e (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff801eb1647 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff801eb1cf3 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
00007ff801eba99f (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff801eaed0a (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff801e94c82 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff801e959e1 (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff801eb8c58 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff801e9a90c (__TEXT,__text) external __kernelrpc_vm_map
00007ff801eb9f82 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff801e9850f (__TEXT,__text) external __kernelrpc_vm_read
00007ff801e92908 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff801eba0ab (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff801e9c912 (__TEXT,__text) non-external __libkernel_bzero
00007ff8438d7c20 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00007ff84008cda0 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff801e9cd44 (__TEXT,__text) non-external __libkernel_memmove
00007ff801e9c91c (__TEXT,__text) non-external __libkernel_memset
00007ff801e9c8f1 (__TEXT,__text) non-external __libkernel_strchr
00007ff801e955fb (__TEXT,__text) non-external __libkernel_strcmp
00007ff801e9d0d7 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8438d7c10 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00007ff801e9d9b1 (__TEXT,__text) non-external __libkernel_strlcpy
00007ff801e9c72b (__TEXT,__text) non-external __libkernel_strlen
00007ff8438d7c18 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00007ff801ebb0f0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff801e9ed6b (__TEXT,__text) non-external __mach_continuous_time
00007ff84008e810 (__DATA_CONST,__const) external __mach_errors
00007ff801e9f26f (__TEXT,__text) external __mach_fork_child
00007ff801e9fd60 (__TEXT,__text) external __mach_snprintf
00007ff801e9fbdb (__TEXT,__text) external __mach_vsnprintf
00007ff8438d7cb0 (__DATA_DIRTY,__common) external __os_alloc_once_table
00007ff843adf9c0 (__DATA,__common) external __os_xbs_chrooted
00007ff801e95f58 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff801e9d0ff (__TEXT,__text) non-external __posix_spawn_with_filter
00007ff801ea1444 (__TEXT,__text) external __register_gethostuuid_callback
00007ff801e9ce91 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00007ff801e9cf0d (__TEXT,__text) non-external __system_version_compat_open_shim
00007ff8438d7c38 (__DATA_DIRTY,__bss) non-external __task_reply_port
00007ff801e9c710 (__TEXT,__text) external __thread_set_tsd_base
00007ff801ebaf29 (__TEXT,__text) non-external _abort
00007ff801ebaf29 (__TEXT,__text) non-external _abort.572
00007ff801ebaf29 (__TEXT,__text) non-external _abort.574
00007ff801ebaf29 (__TEXT,__text) non-external _abort.597
00007ff801ebafdb (__TEXT,__text) external _abort_with_payload
00007ff801ebaf60 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff801ebaf4d (__TEXT,__text) external _abort_with_reason
00007ff801e978d0 (__TEXT,__text) external _accept
00007ff801e9b190 (__TEXT,__text) external _accept$NOCANCEL
00007ff801e912f4 (__TEXT,__text) external _access
00007ff801e9b1a8 (__TEXT,__text) external _accessx_np
00007ff801e9bbc0 (__TEXT,__text) external _acct
00007ff801eb7abd (__TEXT,__text) external _act_get_state
00007ff801eb7c93 (__TEXT,__text) external _act_set_state
00007ff801e9bbd8 (__TEXT,__text) external _adjtime
00007ff801e9bbf0 (__TEXT,__text) external _aio_cancel
00007ff801e9bc08 (__TEXT,__text) external _aio_error
00007ff801e9bc20 (__TEXT,__text) external _aio_fsync
00007ff801e9bc38 (__TEXT,__text) external _aio_read
00007ff801e9bc50 (__TEXT,__text) external _aio_return
00007ff801e9bc68 (__TEXT,__text) external _aio_suspend
00007ff801e9b1c0 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff801e9bc80 (__TEXT,__text) external _aio_write
00007ff801e9bc98 (__TEXT,__text) external _audit
00007ff801e9a1d4 (__TEXT,__text) external _audit_session_join
00007ff801e9a06c (__TEXT,__text) external _audit_session_port
00007ff801e93e44 (__TEXT,__text) external _audit_session_self
00007ff801e9bcb0 (__TEXT,__text) external _auditctl
00007ff801e9867c (__TEXT,__text) external _auditon
00007ff801e96db0 (__TEXT,__text) external _bind
00007ff8438d7c6c (__DATA_DIRTY,__common) external _bootstrap_port
00007ff801e91fbf (__TEXT,__text) external _cerror
00007ff801e9129a (__TEXT,__text) external _cerror_nocancel
00007ff801e93dd0 (__TEXT,__text) external _change_fdguard_np
00007ff801e920a0 (__TEXT,__text) external _chdir
00007ff801e97384 (__TEXT,__text) external _chflags
00007ff801e939dc (__TEXT,__text) external _chmod
00007ff801e96d98 (__TEXT,__text) external _chown
00007ff801e9bcc8 (__TEXT,__text) external _chroot
00007ff801ea98d8 (__TEXT,__text) external _clock_alarm
