                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80d0606ed (__TEXT,__text) non-external _au_assemble
00007ff80d06c263 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80d06c18d (__TEXT,__text) external _audit_set_terminal_id
00007ff80d06c307 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80d06c1c2 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80d06bcc5 (__TEXT,__text) external _audit_submit
00007ff80d05fbd4 (__TEXT,__text) external _audit_token_to_asid
00007ff80d05fc1c (__TEXT,__text) external _audit_token_to_au32
00007ff80d05fbf8 (__TEXT,__text) external _audit_token_to_auid
00007ff80d05fc01 (__TEXT,__text) external _audit_token_to_egid
00007ff80d05fbe6 (__TEXT,__text) external _audit_token_to_euid
00007ff80d05fbdd (__TEXT,__text) external _audit_token_to_pid
00007ff80d05fc13 (__TEXT,__text) external _audit_token_to_pidversion
00007ff80d05fc0a (__TEXT,__text) external _audit_token_to_rgid
00007ff80d05fbef (__TEXT,__text) external _audit_token_to_ruid
00007ff80d06c33c (__TEXT,__text) external _audit_write
00007ff80d06c5ff (__TEXT,__text) external _audit_write_failure
00007ff80d06c6c4 (__TEXT,__text) external _audit_write_failure_ex
00007ff80d06c826 (__TEXT,__text) external _audit_write_failure_na
00007ff80d06c857 (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80d06c789 (__TEXT,__text) external _audit_write_failure_self
00007ff80d06c4be (__TEXT,__text) external _audit_write_success
00007ff80d06c535 (__TEXT,__text) external _audit_write_success_ex
00007ff80d06c5ac (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80d068549 (__TEXT,__text) non-external _be64dec
00007ff80d06e9e0 (__TEXT,__const) non-external _bsm_domains
00007ff84238c840 (__DATA,__const) non-external _bsm_errnos
00007ff80d06ec60 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80d06ec10 (__TEXT,__const) non-external _bsm_socket_types
00007ff80d0693f3 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80d068a1d (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80d061291 (__TEXT,__text) external _endac
00007ff80d060eef (__TEXT,__text) external _endauclass
00007ff80d061bd6 (__TEXT,__text) external _endauevent
00007ff80d06b878 (__TEXT,__text) external _endauuser
00007ff84238da78 (__DATA,__bss) non-external _ev_cache
00007ff80d062071 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff80d063ca3 (__TEXT,__text) non-external _fetch_arb_tok
00007ff80d0628df (__TEXT,__text) non-external _fetch_arg32_tok
00007ff80d062954 (__TEXT,__text) non-external _fetch_arg64_tok
00007ff80d0629c9 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff80d062a77 (__TEXT,__text) non-external _fetch_attr64_tok
00007ff80d063d1f (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff80d062b79 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff80d062bf4 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff80d062b36 (__TEXT,__text) non-external _fetch_exit_tok
00007ff80d062c6f (__TEXT,__text) non-external _fetch_file_tok
00007ff80d062528 (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff80d062478 (__TEXT,__text) non-external _fetch_header32_tok
00007ff80d062731 (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff80d06266c (__TEXT,__text) non-external _fetch_header64_tok
00007ff80d063e0f (__TEXT,__text) non-external _fetch_identity_tok
00007ff80d062d54 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff80d062db3 (__TEXT,__text) non-external _fetch_ip_tok
00007ff80d062ebe (__TEXT,__text) non-external _fetch_ipc_tok
00007ff80d062eff (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff80d063d97 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff80d062ce6 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff80d062fc7 (__TEXT,__text) non-external _fetch_process32_tok
00007ff80d0630c7 (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff80d063205 (__TEXT,__text) non-external _fetch_process64_tok
00007ff80d063318 (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff80d06347e (__TEXT,__text) non-external _fetch_return32_tok
00007ff80d0634bf (__TEXT,__text) non-external _fetch_return64_tok
00007ff80d063681 (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff80d06358e (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff80d0635ec (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff80d063502 (__TEXT,__text) non-external _fetch_socket_tok
00007ff80d063b98 (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff80d0636e1 (__TEXT,__text) non-external _fetch_subject32_tok
00007ff80d0637e1 (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff80d06391f (__TEXT,__text) non-external _fetch_subject64_tok
00007ff80d063a32 (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff80d062898 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff84238da70 (__DATA,__bss) non-external _firsttime
00007ff80d069259 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff84238d530 (__DATA,__bss) non-external _fp
00007ff84238d640 (__DATA,__bss) non-external _fp
00007ff84238d750 (__DATA,__bss) non-external _fp
00007ff84238da90 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80d0612ca (__TEXT,__text) external _getacdir
00007ff80d0618a5 (__TEXT,__text) external _getacexpire
00007ff80d061502 (__TEXT,__text) external _getacfilesz
00007ff80d061651 (__TEXT,__text) external _getacflg
00007ff80d061812 (__TEXT,__text) external _getachost
00007ff80d06149f (__TEXT,__text) external _getacmin
00007ff80d0616dd (__TEXT,__text) external _getacna
00007ff80d061769 (__TEXT,__text) external _getacpol
00007ff80d0617fc (__TEXT,__text) external _getacsflagsmask
00007ff80d060c85 (__TEXT,__text) external _getauclassent
00007ff84238d438 (__DATA,__bss) non-external _getauclassent.c
00007ff84238d3f0 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff84238d3e0 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff84238d450 (__DATA,__bss) non-external _getauclassent.cp
00007ff80d060b09 (__TEXT,__text) external _getauclassent_r
00007ff80d060b3d (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80d060dc2 (__TEXT,__text) external _getauclassnam
00007ff84238d4a8 (__DATA,__bss) non-external _getauclassnam.c
00007ff84238d460 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff84238d458 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80d060d49 (__TEXT,__text) external _getauclassnam_r
00007ff80d060e8a (__TEXT,__text) external _getauclassnum
00007ff84238d518 (__DATA,__bss) non-external _getauclassnum.c
00007ff84238d4d0 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff84238d4c0 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80d060e28 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80d062189 (__TEXT,__text) external _getauditflagsbin
00007ff80d0622da (__TEXT,__text) external _getauditflagschar
00007ff80d061cc3 (__TEXT,__text) external _getauevent
00007ff84238d7b8 (__DATA,__bss) non-external _getauevent.e
00007ff84238d780 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff84238d760 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80d061c0f (__TEXT,__text) external _getauevent_r
00007ff80d061e19 (__TEXT,__text) external _getauevnam
00007ff84238d838 (__DATA,__bss) non-external _getauevnam.e
00007ff84238d800 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff84238d7e0 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80d061d2d (__TEXT,__text) external _getauevnam_r
00007ff80d06205d (__TEXT,__text) external _getauevnonam
00007ff84238d960 (__DATA,__bss) non-external _getauevnonam.event
00007ff80d061fcb (__TEXT,__text) external _getauevnonam_r
00007ff84238d938 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff84238d958 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff84238d900 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff84238d8e0 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80d061f5f (__TEXT,__text) external _getauevnum
00007ff84238d8b8 (__DATA,__bss) non-external _getauevnum.e
00007ff84238d880 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff84238d860 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80d061e86 (__TEXT,__text) external _getauevnum_r
00007ff80d06ba21 (__TEXT,__text) external _getauuserent
00007ff84238dad8 (__DATA,__bss) non-external _getauuserent.u
00007ff84238daa0 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80d06b8b1 (__TEXT,__text) external _getauuserent_r
00007ff80d06b8e5 (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80d06bafa (__TEXT,__text) external _getauusernam
00007ff84238db28 (__DATA,__bss) non-external _getauusernam.u
00007ff84238daf0 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80d06ba8f (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80d06bc04 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80d061351 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff84238d540 (__DATA,__bss) non-external _linestr
00007ff84238d650 (__DATA,__bss) non-external _linestr
00007ff84238d970 (__DATA,__bss) non-external _linestr
00007ff84238db40 (__DATA,__bss) non-external _linestr
00007ff80d06919a (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff84238d1b0 (__DATA,__data) non-external _mutex
00007ff84238d1f0 (__DATA,__data) non-external _mutex
00007ff84238d230 (__DATA,__data) non-external _mutex
00007ff84238d270 (__DATA,__data) non-external _mutex
00007ff84238d2b0 (__DATA,__data) non-external _mutex
00007ff84238d2f0 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff84238d340 (__DATA,__bss) non-external _open_desc_table
00007ff80d0688c4 (__TEXT,__text) non-external _print_event
00007ff80d068efb (__TEXT,__text) non-external _print_group
00007ff80d068c9c (__TEXT,__text) non-external _print_ip_ex_address
00007ff80d068fa6 (__TEXT,__text) non-external _print_ipctype
00007ff80d068f3e (__TEXT,__text) non-external _print_mem
00007ff80d06900f (__TEXT,__text) non-external _print_retval
00007ff80d06898c (__TEXT,__text) non-external _print_sec32
00007ff80d068d46 (__TEXT,__text) non-external _print_sec64
00007ff80d068dd6 (__TEXT,__text) non-external _print_string
00007ff80d068555 (__TEXT,__text) non-external _print_tok_type
00007ff80d068eb8 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80d0611f5 (__TEXT,__text) external _setac
00007ff80d06121d (__TEXT,__text) non-external _setac_locked
00007ff84238d648 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80d060d17 (__TEXT,__text) external _setauclass
00007ff80d061ba4 (__TEXT,__text) external _setauevent
00007ff80d06b846 (__TEXT,__text) external _setauuser
00007ff80d061a77 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff84238da80 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
