00007ffa0703d38c (__TEXT,__text) non-external +[Cube initialize]
00007ffa06fa2d6f (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00007ffa06fa0b8e (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00007ffa06fa0c29 (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00007ffa06fa0a62 (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00007ffa06fa2027 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00007ffa06fa0bfb (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00007ffa06fa0b5e (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00007ffa06fa08ec (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00007ffa06fa0af0 (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00007ffa06fa0e0d (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00007ffa06fa107b (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00007ffa06fa1198 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00007ffa06fa19b1 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00007ffa06fa0ef8 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00007ffa06fa09aa (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00007ffa06f6cbae (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00007ffa06ffc11a (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00007ffa06ffbdf5 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00007ffa06ffda9d (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00007ffa06ffdfe1 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00007ffa06ffb9ce (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00007ffa06f97758 (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00007ffa06f979fe (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00007ffa06f982da (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00007ffa06f983cc (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00007ffa06f983fb (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00007ffa06f9816d (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00007ffa06f98586 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00007ffa06f98800 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00007ffa06f98791 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00007ffa06feb9c1 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00007ffa06feb96a (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00007ffa06feb909 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00007ffa06f99638 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00007ffa06f995cc (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00007ffa06fd597f (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00007ffa06fd5913 (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00007ffa070684a6 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00007ffa07068421 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00007ffa0706aad7 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00007ffa0706aa52 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00007ffa06db1c46 (__TEXT,__text) non-external +[MPAction action]
00007ffa06db1c3b (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00007ffa06db44ca (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00007ffa06db44e3 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00007ffa06db3038 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00007ffa06db302d (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00007ffa06db53a4 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00007ffa06db8b70 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00007ffa06db911b (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00007ffa06db915b (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00007ffa06db9110 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00007ffa06db95be (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00007ffa06db9608 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00007ffa06db95b3 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00007ffa06dbab02 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00007ffa06dbaaba (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00007ffa06dbaaaf (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00007ffa06dba602 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00007ffa06dba63d (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00007ffa06dba5f7 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00007ffa06dbb9d7 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00007ffa06dbb966 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00007ffa06dbbab1 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00007ffa06dbbfcb (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00007ffa06dbbfc0 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00007ffa06dbc23a (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00007ffa06dbc22f (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00007ffa06dbcbba (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00007ffa06dbcbaf (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00007ffa06db2b28 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00007ffa06db2b1d (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00007ffa06dc03f4 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00007ffa06dc03e8 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00007ffa06d9d3ba (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00007ffa06dc1194 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00007ffa06dc1483 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00007ffa06dc1320 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00007ffa06dc16a2 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00007ffa06dc1671 (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00007ffa06dc1697 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00007ffa06dc3883 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00007ffa06dc3824 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00007ffa06e01f41 (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00007ffa06e0473b (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00007ffa06e02a17 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00007ffa06e04f87 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00007ffa06e01694 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00007ffa06e01656 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00007ffa06e016d2 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00007ffa06e021dd (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00007ffa06e04c45 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00007ffa06e04cd1 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00007ffa06e02194 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00007ffa06e04b2d (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00007ffa06e044e2 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00007ffa06e04150 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00007ffa06e024c4 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00007ffa06e0263a (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00007ffa06e02baf (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00007ffa06e03f76 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00007ffa06e01feb (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00007ffa06e017b0 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00007ffa06e0170a (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00007ffa06e049cd (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00007ffa06e051fa (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00007ffa06e02371 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00007ffa06e01c28 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00007ffa06e03ebb (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00007ffa06e02a5a (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00007ffa06e0257f (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00007ffa06e03765 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00007ffa06e03877 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00007ffa06e0380d (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00007ffa06e046c5 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00007ffa06e049ec (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00007ffa06e02973 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00007ffa06e04f68 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00007ffa06e03301 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00007ffa06e012ec (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00007ffa06e02ca8 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00007ffa06e02e21 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00007ffa06e03159 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00007ffa06e04ee0 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00007ffa06e05119 (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00007ffa06e01b02 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00007ffa06e01b95 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00007ffa06e01a6d (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00007ffa06e01cbb (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00007ffa06e01825 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00007ffa06e01d71 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00007ffa06e01923 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00007ffa06e019d8 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00007ffa06e02af6 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00007ffa06e03536 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00007ffa06e01e09 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00007ffa06e038ee (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00007ffa06e03a9c (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00007ffa06e0161e (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00007ffa06e02430 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00007ffa06e020de (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00007ffa06e047f9 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00007ffa06e02023 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00007ffa06e037a3 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00007ffa06e04e58 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00007ffa06e022b6 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00007ffa06e018e0 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00007ffa06e0311e (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00007ffa06e03c8b (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00007ffa06e03d4c (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00007ffa06e030e6 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00007ffa06e03bcf (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00007ffa06e03e78 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00007ffa06e0521b (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00007ffa06e0424c (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00007ffa06e03b5a (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00007ffa06e02f6a (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00007ffa06e02d69 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00007ffa06e03e40 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00007ffa06e04931 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00007ffa06e04393 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00007ffa06e042bf (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00007ffa06e04bb9 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00007ffa06e04773 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00007ffa06e03378 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00007ffa06e029ab (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00007ffa06e04870 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00007ffa06e050d8 (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00007ffa06e048ab (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00007ffa06e04053 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00007ffa06e02bea (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00007ffa06e021a2 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00007ffa06e045b6 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00007ffa06e04a75 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00007ffa06e0302b (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00007ffa06e04d5d (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00007ffa06e033d5 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00007ffa06e036a7 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00007ffa06e035dc (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00007ffa06e03460 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
