00007ffa0704d38c (__TEXT,__text) non-external +[Cube initialize]
00007ffa0705d2d3 (__TEXT,__text) non-external +[DDXMLNode removeNamespace:fromNode:]
00007ffa0705cfaa (__TEXT,__text) non-external +[DDXMLNode stripDocPointersFromAttr:]
00007ffa0705b82f (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00007ffa06f7c788 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00007ffa06f7b120 (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00007ffa06f7d54b (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00007ffa06f7f1b8 (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00007ffa06f7f95a (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00007ffa06f7f96e (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00007ffa06f809b4 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00007ffa06f809c8 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00007ffa06f7fc7b (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00007ffa06f8146c (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00007ffa06f81480 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00007ffa06f81948 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00007ffa06f833e3 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00007ffa06f836b1 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00007ffa06f83634 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00007ffa06f842e3 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00007ffa06f7d164 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00007ffa06f856eb (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00007ffa06f7bfe7 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00007ffa06f7c01f (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00007ffa06f87d3d (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00007ffa06f8e384 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00007ffa06f8fc61 (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00007ffa06f7eeb9 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00007ffa06f7e2ed (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00007ffa06f7eb16 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00007ffa06f7e8ad (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00007ffa06f96861 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00007ffa06f965af (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00007ffa06f962e3 (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00007ffa06f96183 (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00007ffa06f960da (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00007ffa06f96240 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00007ffa06f96054 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00007ffa06f95f02 (__TEXT,__text) non-external +[MCObjectBase initialize]
00007ffa06f967b1 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00007ffa06f97283 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00007ffa06f9a298 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00007ffa06f9f4e9 (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00007ffa06f9fdaf (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00007ffa06fa5f2d (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00007ffa06f7d802 (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00007ffa06f7e03f (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00007ffa06f7db1d (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00007ffa06f7dd91 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00007ffa06fb22c5 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00007ffa06fb2d6f (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00007ffa06fb0b8e (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00007ffa06fb0c29 (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00007ffa06fb0a62 (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00007ffa06fb2027 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00007ffa06fb0bfb (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00007ffa06fb0b5e (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00007ffa06fb08ec (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00007ffa06fb0af0 (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00007ffa06fb0e0d (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00007ffa06fb107b (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00007ffa06fb1198 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00007ffa06fb19b1 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00007ffa06fb0ef8 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00007ffa06fb09aa (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00007ffa06f7cbae (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00007ffa0700c11a (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00007ffa0700bdf5 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00007ffa0700da9d (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00007ffa0700dfe1 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00007ffa0700b9ce (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00007ffa06fa7758 (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00007ffa06fa79fe (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00007ffa06fa82da (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00007ffa06fa83cc (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00007ffa06fa83fb (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00007ffa06fa816d (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00007ffa06fa8586 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00007ffa06fa8800 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00007ffa06fa8791 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00007ffa06ffb9c1 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00007ffa06ffb96a (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00007ffa06ffb909 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00007ffa06fa9638 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00007ffa06fa95cc (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00007ffa06fe597f (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00007ffa06fe5913 (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00007ffa070784a6 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00007ffa07078421 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00007ffa0707aad7 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00007ffa0707aa52 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00007ffa06dc1c46 (__TEXT,__text) non-external +[MPAction action]
00007ffa06dc1c3b (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00007ffa06dc44ca (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00007ffa06dc44e3 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00007ffa06dc3038 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00007ffa06dc302d (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00007ffa06dc53a4 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00007ffa06dc8b70 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00007ffa06dc911b (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00007ffa06dc915b (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00007ffa06dc9110 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00007ffa06dc95be (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00007ffa06dc9608 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00007ffa06dc95b3 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00007ffa06dcab02 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00007ffa06dcaaba (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00007ffa06dcaaaf (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00007ffa06dca602 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00007ffa06dca63d (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00007ffa06dca5f7 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00007ffa06dcb9d7 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00007ffa06dcb966 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00007ffa06dcbab1 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00007ffa06dcbfcb (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00007ffa06dcbfc0 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00007ffa06dcc23a (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00007ffa06dcc22f (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00007ffa06dccbba (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00007ffa06dccbaf (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00007ffa06dc2b28 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00007ffa06dc2b1d (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00007ffa06dd03f4 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00007ffa06dd03e8 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00007ffa06dad3ba (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00007ffa06dd1194 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00007ffa06dd1483 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00007ffa06dd1320 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00007ffa06dd16a2 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00007ffa06dd1671 (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00007ffa06dd1697 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00007ffa06dd3883 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00007ffa06dd3824 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00007ffa06e11f41 (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00007ffa06e1473b (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00007ffa06e12a17 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00007ffa06e14f87 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00007ffa06e11694 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00007ffa06e11656 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00007ffa06e116d2 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00007ffa06e121dd (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00007ffa06e14c45 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00007ffa06e14cd1 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00007ffa06e12194 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00007ffa06e14b2d (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00007ffa06e144e2 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00007ffa06e14150 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00007ffa06e124c4 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00007ffa06e1263a (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00007ffa06e12baf (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00007ffa06e13f76 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00007ffa06e11feb (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00007ffa06e117b0 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00007ffa06e1170a (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00007ffa06e149cd (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00007ffa06e151fa (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00007ffa06e12371 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00007ffa06e11c28 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00007ffa06e13ebb (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00007ffa06e12a5a (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00007ffa06e1257f (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00007ffa06e13765 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00007ffa06e13877 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00007ffa06e1380d (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00007ffa06e146c5 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00007ffa06e149ec (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00007ffa06e12973 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00007ffa06e14f68 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00007ffa06e13301 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00007ffa06e112ec (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00007ffa06e12ca8 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00007ffa06e12e21 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00007ffa06e13159 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00007ffa06e14ee0 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00007ffa06e15119 (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00007ffa06e11b02 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00007ffa06e11b95 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00007ffa06e11a6d (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00007ffa06e11cbb (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00007ffa06e11825 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00007ffa06e11d71 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00007ffa06e11923 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00007ffa06e119d8 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00007ffa06e12af6 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00007ffa06e13536 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00007ffa06e11e09 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00007ffa06e138ee (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00007ffa06e13a9c (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00007ffa06e1161e (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00007ffa06e12430 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00007ffa06e120de (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00007ffa06e147f9 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00007ffa06e12023 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00007ffa06e137a3 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00007ffa06e14e58 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00007ffa06e122b6 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00007ffa06e118e0 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00007ffa06e1311e (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00007ffa06e13c8b (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00007ffa06e13d4c (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00007ffa06e130e6 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00007ffa06e13bcf (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00007ffa06e13e78 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00007ffa06e1521b (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00007ffa06e1424c (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00007ffa06e13b5a (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00007ffa06e12f6a (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00007ffa06e12d69 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00007ffa06e13e40 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00007ffa06e14931 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00007ffa06e14393 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00007ffa06e142bf (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00007ffa06e14bb9 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00007ffa06e14773 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00007ffa06e13378 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00007ffa06e129ab (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00007ffa06e14870 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00007ffa06e150d8 (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00007ffa06e148ab (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00007ffa06e14053 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00007ffa06e12bea (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00007ffa06e121a2 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00007ffa06e145b6 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00007ffa06e14a75 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00007ffa06e1302b (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00007ffa06e14d5d (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00007ffa06e133d5 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00007ffa06e136a7 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00007ffa06e135dc (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
