                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
000000023b541648 (__TEXT,__text) external _DRBufferAsResource
000000023b542790 (__TEXT,__text) external _DRResourcesCommitHasEvent
000000023b53ead8 (__TEXT,__text) external _DRRetain
000000023b5415ac (__TEXT,__text) external _DRTextureAsResource
000000023b540178 (__TEXT,__text) external _DRTextureCopyDescriptor
000000023b53fef8 (__TEXT,__text) external _DRTextureCreateUnmanaged
000000023b53ffdc (__TEXT,__text) external _DRTextureDescriptorCreate
000000023b540128 (__TEXT,__text) external _DRTextureDescriptorGetArrayLength
000000023b540060 (__TEXT,__text) external _DRTextureDescriptorGetDepth
000000023b540038 (__TEXT,__text) external _DRTextureDescriptorGetHeight
000000023b540088 (__TEXT,__text) external _DRTextureDescriptorGetMipmapLevelCount
000000023b5400b0 (__TEXT,__text) external _DRTextureDescriptorGetPixelFormat
000000023b540150 (__TEXT,__text) external _DRTextureDescriptorGetSwizzle
000000023b5400d8 (__TEXT,__text) external _DRTextureDescriptorGetTextureType
000000023b540100 (__TEXT,__text) external _DRTextureDescriptorGetTextureUsage
000000023b540010 (__TEXT,__text) external _DRTextureDescriptorGetWidth
000000023b54013c (__TEXT,__text) external _DRTextureDescriptorSetArrayLength
000000023b540074 (__TEXT,__text) external _DRTextureDescriptorSetDepth
000000023b54004c (__TEXT,__text) external _DRTextureDescriptorSetHeight
000000023b54009c (__TEXT,__text) external _DRTextureDescriptorSetMipmapLevelCount
000000023b5400c4 (__TEXT,__text) external _DRTextureDescriptorSetPixelFormat
000000023b540164 (__TEXT,__text) external _DRTextureDescriptorSetSwizzle
000000023b5400ec (__TEXT,__text) external _DRTextureDescriptorSetTextureType
000000023b540114 (__TEXT,__text) external _DRTextureDescriptorSetTextureUsage
000000023b540024 (__TEXT,__text) external _DRTextureDescriptorSetWidth
000000023b540204 (__TEXT,__text) external _DRTextureReadTexture
000000023b54026c (__TEXT,__text) external _DRTextureReplaceTexture
000000023b540334 (__TEXT,__text) external _DRTextureReplaceWithMemoryResource
000000023b5402d0 (__TEXT,__text) external _DRTextureTryReplaceTexture
000000023b53fef4 (__TEXT,__text) external _DRValidateIndices
000000023b5438a8 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionNumber
000000023b543868 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionString
                 (undefined) external _IOSurfaceCreate (from IOSurface)
                 (undefined) external _IOSurfaceCreateXPCObject (from IOSurface)
                 (undefined) external _IOSurfaceGetAllocSize (from IOSurface)
                 (undefined) external _IOSurfaceGetBaseAddress (from IOSurface)
                 (undefined) external _IOSurfaceLookupFromXPCObject (from IOSurface)
                 (undefined) external _MTLCopyAllDevices (from Metal)
                 (undefined) external _MTLCopyAllDevicesWithObserver (from Metal)
                 (undefined) external _MTLCreateSystemDefaultDevice (from Metal)
                 (undefined) external _MTLRemoveDeviceObserver (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedEventListener (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedTextureHandle (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLTextureDescriptor (from Metal)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
000000023b53b918 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023b53b938 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000023b53b954 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
0000000295005520 (__DATA_DIRTY,__bss) non-external __MergedGlobals
0000000295005530 (__DATA_DIRTY,__bss) non-external __MergedGlobals
0000000295005540 (__DATA_DIRTY,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000023b53bab0 (__TEXT,__text) non-external (was a private external) __Z14ArcObjectClassv
000000023b542e94 (__TEXT,__text) non-external __Z14ArcObjectClassv.cold.1
000000023b53b960 (__TEXT,__text) non-external (was a private external) __Z16ArcObjectDestroyPvP13objc_selector
000000023b53b990 (__TEXT,__text) non-external (was a private external) __Z20ArcObjectDescriptionPvP13objc_selector
                 (undefined) external __Z22MTLAttributeFormatSize18MTLAttributeFormat (from Metal)
000000023b53ba20 (__TEXT,__text) non-external (was a private external) __Z25ArcObjectDebugDescriptionPvP13objc_selector
000000023b543670 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023b5436a0 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023b543790 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023b5437a0 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023b5411e0 (__TEXT,__text) non-external __ZN13ContextConfigD0Ev
000000023b541194 (__TEXT,__text) non-external __ZN13ContextConfigD1Ev
000000023b53bd14 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObject7disposeEv
000000023b53bbc8 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectC2EP10objc_class
000000023b53bcb0 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD0Ev
000000023b53bc6c (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD1Ev
000000023b53bc28 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD2Ev
000000023b5422c8 (__TEXT,__text) non-external __ZN16ClientConnectionD0Ev
000000023b542250 (__TEXT,__text) non-external __ZN16ClientConnectionD1Ev
000000023b542200 (__TEXT,__text) non-external __ZN22ClientConnectionConfigD0Ev
000000023b5421c4 (__TEXT,__text) non-external __ZN22ClientConnectionConfigD1Ev
000000023b54425d (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector11s_knameinitE
000000023b5441ee (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector12s_knameallocE
000000028c37a628 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector13s_kUTF8StringE
000000023b5441d3 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector17s_knameUTF8StringE
000000028c37a620 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector22s_krespondsToSelector_E
000000023b544408 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector26s_knamerespondsToSelector_E
000000028c37a618 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector30s_kmethodSignatureForSelector_E
000000023b544297 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector34s_knamemethodSignatureForSelector_E
000000028c37a610 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector7s_kinitE
000000028c37a608 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector8s_kallocE
000000023b52e938 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL11SharedEventEEaSEOS3_
000000023b52e938 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedEventListenerEEaSEOS3_
000000023b52e938 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedTextureHandleEEaSEOS3_
000000023b52e938 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL6BufferEEaSEOS3_
000000023b52e938 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL7TextureEEaSEOS3_
000000023b52e938 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSEOS3_
000000023b52e938 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSINS1_7TextureEEENSt3__19enable_ifIXsr3stdE16is_convertible_vIPT_PS2_EERS3_E4typeEONS0_IS8_EE
000000023b53e07c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023b53e390 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh11updatePartsEU13block_pointerFvPNS_14DirectMeshPartEmE
000000023b53e208 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12setPartCountEm
000000023b542f10 (__TEXT,__text) non-external __ZN2re10DirectMesh12setPartCountEm.cold.1
000000023b53e838 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmPN3MTL13CommandBufferE
000000023b53e4e0 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmU13block_pointerFvPvmE
000000023b53e8e0 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmPN3MTL13CommandBufferE
000000023b53e684 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmU13block_pointerFvPvmE
000000023b53e8a0 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEPN3MTL13CommandBufferE
000000023b53e5b4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEU13block_pointerFvPvmE
000000023b53db80 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14attachToDeviceEPN3MTL6DeviceE
000000023b53e948 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEPN3MTL13CommandBufferE
000000023b53e758 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEU13block_pointerFvPvmE
000000023b53da18 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15allocateStorageERKNS_29DirectResourceCreationOptionsE
000000023b53e988 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15replaceInternalEPNS_9SharedPtrINS_20DirectMemoryResourceEEES3_
000000023b53e638 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15validateIndicesEv
000000023b53d980 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh6createERKNS_21DirectMeshDescriptionERKNS_29DirectResourceCreationOptionsE
000000023b53dfc4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh8setPartsEmNS_10UnownedPtrINS_20DirectMemoryResourceEEE
000000023b53dcfc (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC1ERKNS_21DirectMeshDescriptionE
000000023b53dc84 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC2ERKNS_21DirectMeshDescriptionE
000000023b53dda4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD0Ev
000000023b53dda0 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD1Ev
000000023b53dd00 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD2Ev
000000023b526dd4 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence10invalidateEv
000000023b542800 (__TEXT,__text) non-external __ZN2re11DirectFence10invalidateEv.cold.1
000000023b526e80 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence20addInvalidateHandlerEONSt3__18functionIFvPS0_EEE
000000023b526c18 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPKc
000000023b526d18 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPN3MTL13CommandBufferE
000000023b526af0 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPKc
000000023b526c1c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPN3MTL13CommandBufferE
000000023b526d9c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD0Ev
000000023b526d98 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD1Ev
000000023b526d1c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD2Ev
000000023b5427d4 (__TEXT,__text) non-external __ZN2re11DirectFenceD2Ev.cold.1
000000023b52f6fc (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_10DirectMeshE
000000023b52f9b4 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_12DirectBufferE
000000023b52f688 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_13DirectTextureE
000000023b52f874 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_16DirectMeshUpdateE
000000023b52fa30 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_18DirectBufferUpdateE
000000023b528314 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023b528478 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer12setBytesUsedEm
000000023b528074 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer14attachToDeviceEPN3MTL6DeviceE
000000023b527ff0 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer15allocateStorageERKNS_29DirectResourceCreationOptionsE
000000023b528234 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer23replaceContentsInternalENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023b527f34 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6createERKNS_23DirectBufferDescriptionERKNS_29DirectResourceCreationOptionsE
000000023b528534 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6updateEU13block_pointerFvPvmE
000000023b528660 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEPN3MTL13CommandBufferE
000000023b5285b0 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEU13block_pointerFvPvmE
000000023b528118 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferC1ERKNS_23DirectBufferDescriptionE
000000023b5281b0 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD0Ev
000000023b5281ac (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD1Ev
000000023b528164 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD2Ev
000000023b531620 (__TEXT,__text) non-external (was a private external) __ZN2re12commandCountERKNS_22DirectResourceCommandsE
000000023b52fabc (__TEXT,__text) non-external (was a private external) __ZN2re12makeCommandsEPKNS_21DirectResourcesCommitE
000000023b53d62c (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023b53d4b0 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14attachToDeviceEPN3MTL6DeviceE
000000023b5437b0 (__TEXT,__const) non-external (was a private external) __ZN2re13DirectTexture14kContentsUsageE
000000023b53d094 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorEPN3MTL7TextureE
000000023b53cf28 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorERKNS_24DirectTextureDescriptionE
000000023b53d78c (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14replaceTextureEPN3MTL13CommandBufferE
000000023b53d218 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture15allocateStorageERKNS_29DirectResourceCreationOptionsE
000000023b53d7d8 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture17tryReplaceTextureEPN3MTL13CommandBufferE
000000023b53d4bc (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture23allocateRuntimeResourceERKNS_24DirectTextureDescriptionENS_10UnownedPtrINS_20DirectMemoryResourceEEEPN3MTL6DeviceE
000000023b53d27c (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023b53d18c (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createERKNS_24DirectTextureDescriptionERKNS_29DirectResourceCreationOptionsE
000000023b53d320 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureC1ERKNS_24DirectTextureDescriptionE
000000023b53d888 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD0Ev
000000023b53d830 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD1Ev
000000023b527df8 (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesEN3MTL9IndexTypeE
000000023b527e14 (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesERKNS_25DirectMeshVertexAttributeERKNS_22DirectMeshVertexLayoutEm
000000023b52871c (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRA16_h
000000023b529b44 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16CreateDirectMeshE
000000023b529614 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16DirectMeshValuesE
000000023b529d00 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16UpdateDirectMeshE
000000023b52a2b0 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18CreateDirectBufferE
000000023b52a13c (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18DirectBufferValuesE
000000023b52a460 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18UpdateDirectBufferE
000000023b5294b8 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_19CreateDirectPayloadE
000000023b529e5c (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_19CreateDirectTextureE
000000023b529128 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_19DirectResourceEventE
000000023b529ffc (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_19UpdateDirectTextureE
